,UTLA19CD,UTLA19NM,respondent,population,active_cases,percentage
86,E08000032,Bradford,843,533428.0,3523.023794082726,0.6604497315631587
87,E08000033,Calderdale,396,208357.0,2982.313567709157,
88,E08000034,Kirklees,634,435440.0,9315.483758351955,
89,E08000035,Leeds,1445,783815.0,27673.206812967066,3.5305788754957566
90,E08000036,Wakefield,394,342234.0,3166.067394593594,
91,E08000037,Gateshead,260,200838.0,2342.7052268477305,
92,E09000001,City of London,49,8610.0,505.32942627559333,
93,E09000002,Barking and Dagenham,82,210737.0,809.339411689383,
94,E09000003,Barnet,1042,388654.0,19237.190665698938,4.949695787435338
95,E09000004,Bexley,508,244881.0,907.398520015079,
96,E09000005,Brent,281,328913.0,10539.837552739615,
97,E09000006,Bromley,1411,327901.0,5480.452501027357,1.6713741345794484
98,E09000007,Camden,650,260516.0,7437.1715883399065,
99,E09000008,Croydon,827,382662.0,6262.179423623204,1.6364779945809105
100,E09000009,Ealing,690,339832.0,6217.98012797068,
101,E09000010,Enfield,562,331642.0,2977.0595641049417,
102,E09000011,Greenwich,569,284660.0,3013.778077614369,
103,E09000012,Hackney,443,278710.0,6567.1037780656025,
104,E09000013,Hammersmith and Fulham,371,184553.0,2589.085579252687,
105,E09000014,Haringey,771,269600.0,10284.317295936142,3.8146577507181534
106,E09000015,Harrow,424,248001.0,5353.578598650406,
107,E09000016,Havering,448,255125.0,2599.301624072485,
108,E09000017,Hillingdon,450,302771.0,15110.601858148157,
109,E09000018,Hounslow,494,269471.0,2743.4553682308338,
110,E09000019,Islington,535,238213.0,6472.314941397416,
111,E09000020,Kensington and Chelsea,282,154948.0,1.0686562745831907e-11,
112,E09000021,Kingston upon Thames,683,173987.0,1471.1573967424974,
113,E09000022,Lambeth,764,324575.0,22902.391096852698,7.056116797921189
114,E09000023,Lewisham,680,302166.0,7759.51128900204,
115,E09000024,Merton,558,204875.0,4228.096009179899,
116,E09000025,Newham,151,350961.0,5.684341886080801e-13,
117,E09000026,Redbridge,415,301727.0,2884.084923740906,
118,E09000027,Richmond upon Thames,1176,195070.0,9543.396382577743,4.892293219140689
119,E09000028,Southwark,766,315948.0,7410.428230368955,2.345458186273993
120,E09000029,Sutton,586,202906.0,457.83433881808503,
121,E09000030,Tower Hamlets,300,316864.0,2611.225961784647,
122,E09000031,Waltham Forest,438,275124.0,3346.4254625355097,
123,E09000032,Wandsworth,829,325003.0,7205.448564958359,2.217040631919816
124,E09000033,Westminster,336,253744.0,5172.584084775309,
125,E10000002,Buckinghamshire,2243,534652.0,18238.25992001748,3.411239445474342
126,E10000003,Cambridgeshire,2521,645140.0,16381.168421296337,2.5391648977425576
127,E10000006,Cumbria,1255,493197.0,4501.987589272828,0.9128173101768315
128,E10000007,Derbyshire,1784,788644.0,22491.82744937073,2.8519620322186854
129,E10000008,Devon,3021,782808.0,10073.43008736851,1.286832797744595
130,E10000011,East Sussex,2080,545756.0,8299.989500118156,1.5208242328289852
131,E10000012,Essex,3739,1462952.0,28126.55493328775,1.9225890482591192
132,E10000013,Gloucestershire,2233,626996.0,11470.08783462029,1.8293717718486706
133,E10000014,Hampshire,5543,1360471.0,30924.58872201454,2.273079596846573
134,E10000015,Hertfordshire,4248,1173128.0,23153.388185248114,1.9736455173900984
135,E10000016,Kent,4624,1552763.0,30343.100558268176,1.9541359858695868
136,E10000017,Lancashire,2081,1198862.0,21230.930659253365,1.7709236475301882
137,E10000018,Leicestershire,1610,691742.0,11304.456773252243,1.634201302400641
138,E10000019,Lincolnshire,1504,748129.0,8159.762219552812,1.0906892019361383
139,E10000020,Norfolk,2506,888775.0,11014.348039360219,1.2392729362729846
140,E10000021,Northamptonshire,1592,741608.0,21574.124235533633,2.9091007965843994
141,E10000023,North Yorkshire,2102,605962.0,17565.57678709912,2.898791803297751
142,E10000024,Nottinghamshire,1882,815579.0,29435.05222018362,3.6090988390068435
143,E10000025,Oxfordshire,3154,680766.0,17179.2565470095,2.5235185874455395
144,E10000027,Somerset,1870,551952.0,4797.8254626116295,0.869246866142641
145,E10000028,Staffordshire,1606,867253.0,6703.616606512248,0.772971279028409
146,E10000029,Suffolk,2363,749202.0,15293.99469657543,2.0413713119526418
147,E10000030,Surrey,5256,1176444.0,28730.792073820492,2.4421725193736794
148,E10000031,Warwickshire,1671,565051.0,14058.557780059033,2.4880157331035666
149,E10000032,West Sussex,3207,847765.0,27108.909562101668,3.1976915256116576
150,E10000034,Worcestershire,1615,585370.0,7834.502176008588,1.3383846415102565
151,W06000001,Isle of Anglesey,163,69076.0,190.6656555721139,
152,W06000002,Gwynedd,268,121417.0,4919.183799657441,
153,W06000003,Conwy,385,115236.0,6.0822458181064576e-12,
154,W06000004,Denbighshire,244,94456.0,2741.326112621266,
155,W06000005,Flintshire,418,154332.0,1805.8512445784975,
156,W06000006,Wrexham,254,134977.0,5558.100764471656,
157,W06000008,Ceredigion,251,72040.0,4343.9838972446805,
158,W06000009,Pembrokeshire,392,123478.0,1270.176819129584,
159,W06000010,Carmarthenshire,456,185570.0,2911.792112456532,
160,W06000011,Swansea,694,244141.0,4791.561549436354,
161,W06000012,Neath Port Talbot,212,141710.0,51.902934917702964,
162,W06000013,Bridgend,258,143796.0,4369.070997472274,
163,W06000014,Vale of Glamorgan,511,130940.0,6484.921588430789,
164,W06000015,Cardiff,1020,361544.0,5528.498078909485,1.5291356180463471
165,W06000016,Rhondda Cynon Taf,405,238246.0,2746.7830387378017,
166,W06000018,Caerphilly,264,179810.0,4478.120600028542,
167,W06000019,Blaenau Gwent,74,69190.0,1.2789769243681803e-12,
168,W06000020,Torfaen,176,92181.0,2.1884716261411086e-12,
169,W06000021,Monmouthshire,417,92911.0,0.0,
170,W06000022,Newport,243,152146.0,106.63307079350892,
171,W06000023,Powys,433,131960.0,1667.0968508508274,
172,W06000024,Merthyr Tydfil,89,59791.0,432.7232185921772,
173,N09000001,Antrim and Newtownabbey,70,141298.0,5.002220859751105e-12,
174,N09000002,"Armagh City, Banbridge and Craigavon",74,210609.0,8.640199666842818e-12,
175,N09000003,Belfast,198,334945.0,2915.2307479101055,
176,N09000004,Causeway Coast and Glens,67,142994.0,1612.997889455156,
177,N09000005,Derry City and Strabane,42,149612.0,98.54591182605267,
178,N09000006,Fermanagh and Omagh,27,115899.0,6.366462912410498e-12,
179,N09000007,Lisburn and Castlereagh,138,147276.0,5077.3186552654915,
180,N09000008,Mid and East Antrim,77,137485.0,4419.7547374952865,
181,N09000009,Mid Ulster,32,147764.0,1.332978172285948e-11,
182,N09000010,"Newry, Mourne and Down",52,179222.0,1.000444171950221e-11,
183,N09000011,Ards and North Down,190,159517.0,4068.6456871768487,
184,S12000005,Clackmannanshire,74,51067.0,7.247535904753022e-13,
185,S12000006,Dumfries and Galloway,258,147333.0,6054.902275295757,
186,S12000008,East Ayrshire,91,120952.0,1.4779288903810084e-12,
187,S12000010,East Lothian,288,104960.0,0.0,
188,S12000011,East Renfrewshire,210,94204.0,393.9866743132141,
189,S12000013,Na h-Eileanan Siar,20,25770.0,3031.856245259896,
190,S12000014,Falkirk,184,159245.0,1057.2554362096396,
191,S12000015,Fife,588,368877.0,4151.946919004828,
192,S12000017,Highland,488,230386.0,5934.296560990848,
193,S12000018,Inverclyde,70,77450.0,117.54778168346152,
194,S12000019,Midlothian,146,90771.0,117.35305436176206,
195,S12000020,Moray,145,94651.0,2214.2261221257127,
196,S12000021,North Ayrshire,146,134153.0,753.3800002094113,
197,S12000023,Orkney Islands,28,19786.0,70.49215445931469,
198,S12000024,Perth and Kinross,354,149565.0,5757.683331938217,
199,S12000026,Scottish Borders,274,114246.0,3271.5431331603395,
200,S12000027,Shetland Islands,19,22045.0,6.821210263296962e-13,
201,S12000028,South Ayrshire,140,111302.0,1237.6602468764527,
202,S12000029,South Lanarkshire,371,316689.0,5120.098528786632,
203,S12000030,Stirling,212,93610.0,617.4258456363931,
204,S12000033,Aberdeen City,342,226003.0,1104.4150490462373,
205,S12000034,Aberdeenshire,490,259515.0,4947.127587903029,
206,S12000035,Argyll and Bute,235,82750.0,255.40383993423336,
207,S12000036,City of Edinburgh,1667,514447.0,25084.349409862505,4.875983222734802
208,S12000038,Renfrewshire,220,176470.0,736.5593044852554,
209,S12000039,West Dunbartonshire,78,88557.0,215.05272272067145,
210,S12000040,West Lothian,254,181179.0,1590.9666434861635,
211,S12000041,Angus,190,114789.0,1028.605155389994,
212,S12000042,Dundee City,186,147562.0,3.410605131648481e-12,
213,S12000044,North Lanarkshire,248,338454.0,4574.472604805182,
214,S12000045,East Dunbartonshire,271,107248.0,199.82973336597672,
215,S12000046,Glasgow City,617,622625.0,21008.040076883764,
