,UTLA19CD,UTLA19NM,respondent,population,active_cases,percentage
0,E06000001,Hartlepool,73,92455.0,3126.85679250266,
1,E06000002,Middlesbrough,113,139659.0,77.04406028725158,
2,E06000003,Redcar and Cleveland,172,135423.0,463.14420167330167,
3,E06000004,Stockton-on-Tees,270,195746.0,2009.5638619527244,
4,E06000005,Darlington,206,105508.0,0.0,
5,E06000006,Halton,111,127674.0,4464.080545213556,
6,E06000007,Warrington,429,207992.0,5042.24624515229,
7,E06000008,Blackburn with Darwen,103,148166.0,2.0747847884194925e-11,
8,E06000009,Blackpool,105,137963.0,0.0,
9,E06000010,"Kingston upon Hull, City of",153,259149.0,2991.8642381526956,
10,E06000011,East Riding of Yorkshire,756,336031.0,4332.455537104581,1.28930233731548
11,E06000012,North East Lincolnshire,137,158300.0,7208.260138109616,
12,E06000013,North Lincolnshire,208,170405.0,5394.976815877992,
13,E06000014,York,675,207799.0,14934.24898952816,
14,E06000015,Derby,404,254921.0,1210.7426827519425,
15,E06000016,Leicester,232,353020.0,6.366462912410498e-12,
16,E06000017,Rutland,186,39207.0,0.0,
17,E06000018,Nottingham,335,329068.0,756.980798652389,
18,E06000019,"Herefordshire, County of",579,189824.0,1358.0237292184347,
19,E06000020,Telford and Wrekin,234,176740.0,650.1298588527624,
20,E06000021,Stoke-on-Trent,182,254230.0,306.1344455229133,
21,E06000022,Bath and North East Somerset,830,190096.0,7453.128763163505,3.920718354496415
22,E06000023,"Bristol, City of",1396,459940.0,7551.447635411297,1.6418332033333254
23,E06000024,North Somerset,836,211262.0,1471.3032029411324,0.6964353281428428
24,E06000025,South Gloucestershire,902,280179.0,1815.296391698138,0.647905942878709
25,E06000026,Plymouth,412,260815.0,4672.304625085483,
26,E06000027,Torbay,264,133799.0,0.0,
27,E06000030,Swindon,442,220365.0,1898.7521149238373,
28,E06000031,Peterborough,289,199601.0,1448.2477107446932,
29,E06000032,Luton,169,212818.0,6327.176928721885,
30,E06000033,Southend-on-Sea,309,180319.0,1495.4545084693975,
31,E06000034,Thurrock,147,171548.0,3608.6075361676085,
32,E06000035,Medway,391,276085.0,972.0615310247233,
33,E06000036,Bracknell Forest,414,120850.0,316.69212767303884,
34,E06000037,West Berkshire,609,157215.0,1068.8594939583525,
35,E06000038,Reading,392,162111.0,4730.799313964752,
36,E06000039,Slough,98,148414.0,0.0,
37,E06000040,Windsor and Maidenhead,609,149214.0,3206.473652110844,
38,E06000041,Wokingham,751,166550.0,4642.857195353947,2.7876656831906015
39,E06000042,Milton Keynes,638,266983.0,179.138690730485,
40,E06000043,Brighton and Hove,1086,287939.0,7666.618757457451,2.662584352052848
41,E06000044,Portsmouth,404,213493.0,0.0,
42,E06000045,Southampton,389,250992.0,3861.5685515446457,
43,E06000046,Isle of Wight,400,139483.0,2098.563320578751,
44,E06000047,County Durham,815,522842.0,9847.233681714868,1.883405250862568
45,E06000049,Cheshire East,1298,376355.0,3262.7529171826695,0.8669349197387226
46,E06000050,Cheshire West and Chester,977,337053.0,7222.718382792604,2.142902861802922
47,E06000051,Shropshire,1000,316547.0,4876.2354737780415,1.5404459602454112
48,E06000052,Cornwall,1861,558138.0,20788.717621860425,3.7246554833859054
49,E06000053,Isles of Scilly,12,2198.0,1.5987211554602254e-13,
50,E06000054,Wiltshire,1923,492707.0,11663.172538946632,2.367161931725474
51,E06000055,Bedford,431,170018.0,3046.7517297967006,
52,E06000056,Central Bedfordshire,808,281466.0,9755.60808924598,3.465998766901146
53,E06000057,Northumberland,865,316927.0,26518.747069421086,8.36746224506624
54,E06000058,"Bournemouth, Christchurch and Poole",1151,390510.0,4276.353068242937,1.0950687737171743
55,E06000059,Dorset,1695,370768.0,12707.38502506222,3.4273143920355102
56,E08000001,Bolton,319,283381.0,1402.468493919952,
57,E08000002,Bury,331,188590.0,5351.654777494812,
58,E08000003,Manchester,534,545218.0,22237.116664277306,
59,E08000004,Oldham,212,233982.0,223.5286042109159,
60,E08000005,Rochdale,194,218452.0,2194.0567924672923,
61,E08000006,Salford,249,252606.0,18170.176300850344,
62,E08000007,Stockport,722,288940.0,3320.113801162808,
63,E08000008,Tameside,235,223765.0,2.0236257114447653e-11,
64,E08000009,Trafford,518,234138.0,1636.0491979073568,
65,E08000010,Wigan,291,323990.0,10449.251441509326,
66,E08000011,Knowsley,93,148509.0,108.26005169673262,
67,E08000012,Liverpool,529,491811.0,33160.623073387804,
68,E08000013,St. Helens,188,178726.0,1029.495392408667,
69,E08000014,Sefton,635,272132.0,10944.786804633315,
70,E08000015,Wirral,762,319813.0,3713.8408060166544,1.1612538596044109
71,E08000016,Barnsley,266,243197.0,2144.011700750415,
72,E08000017,Doncaster,343,308096.0,2859.4665243248487,
73,E08000018,Rotherham,269,262478.0,12324.837976762876,
74,E08000019,Sheffield,1248,577908.0,4553.181591583161,0.787873085609329
75,E08000021,Newcastle upon Tyne,571,297950.0,2084.1672012089075,
76,E08000022,North Tyneside,439,204137.0,1286.478082871125,
77,E08000023,South Tyneside,168,148927.0,0.0,
78,E08000024,Sunderland,348,274345.0,5306.494272597855,
