date,region,covid_in_pop,covid_in_pop_lolim,covid_in_pop_uplim,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim
2021-02-05,England,12661.881434057195,11662.70998160025,13743.313232537646,22.619720904932358,20.83475873256821,24.551636441082557
2021-02-06,England,11838.8577871208,10865.411843329632,12896.351444640452,21.149436627764267,19.410431592906722,23.038588055725945
2021-02-07,England,11676.44301987213,10690.196457417185,12750.51248734848,20.859292013384685,19.097419411563024,22.778055169820245
2021-02-08,England,11255.339725156724,10275.155970003205,12325.933173068424,20.10701526460788,18.355973518356365,22.01956871257144
2021-02-09,England,10756.45404094541,9806.915816948382,11795.041326115075,19.21578476311437,17.51948949078566,21.071161047302304
2021-02-10,England,10511.291394943633,9575.938447989563,11535.208666472217,18.777815835845875,17.106861742815195,20.60698498676053
2021-02-11,England,10241.01012140135,9312.859994974115,11258.889723946586,18.294973929199056,16.636887259615186,20.113357132698948
2021-02-12,England,10324.242211672672,9382.001067343805,11358.282066116524,18.443663258038253,16.760403797675913,20.290915819508665
2021-02-13,England,10422.504676765475,9461.083185942482,11478.71769372168,18.619203484615596,16.901679441472528,20.506067122071926
2021-02-14,England,10855.37973382328,9846.898698996034,11964.04220423103,19.392509807877918,17.590916603541597,21.37307136889078
2021-02-15,England,10738.326704883411,9716.709827082643,11864.195117647378,19.18340132273801,17.35834169254235,21.194700307413456
2021-02-16,England,10850.710714661176,9805.05723236484,12004.58888141909,19.384168874431605,17.516169236621465,21.44550566914804
2021-02-17,England,10985.898345609077,9913.149292677514,12171.307603362004,19.625673780141394,17.709269468134877,21.743339050357278
2021-02-18,England,11284.198542707752,10180.974591018083,12503.402187045784,20.158569877723654,18.187723916732782,22.336606870474576
2021-02-19,England,8137.760813032021,7355.9792187686335,8999.783436272399,14.537640345199291,13.141032616486372,16.07759404425925
2021-02-20,England,8160.168776509986,7365.801240843244,9037.279718418466,14.577670879568073,13.158579092435215,16.144578989706243
2021-02-21,England,7982.317528267342,7195.553373700977,8852.224181256264,14.259949882195459,12.854441096871616,15.813987945687911
2021-02-22,England,8110.029043082398,7310.839198300969,8993.60844312212,14.488099137620688,13.060392573382261,16.06656277514047
2021-02-23,England,7960.705658534966,7148.965299575691,8861.508976876668,14.221341523388274,12.771214189425002,15.830574697560975
2021-02-24,England,7856.010856517805,7036.562204816935,8767.70834258019,14.03431029788212,12.5704125435136,15.663005274364119
2021-02-25,England,7589.051305002038,6778.283668458893,8493.638649178929,13.55740245605457,12.109012834585718,15.173395574137247
2021-02-26,England,7198.244383113142,6406.88679104185,8084.266972415737,12.859248429981845,11.445533733483046,14.442076684208226
2021-02-27,England,6740.910530780241,5969.786198966481,7608.657591701981,12.042247879627373,10.664678735620578,13.592427956446787
2021-02-28,England,6594.90044374235,5830.443836449274,7456.601627010605,11.781409280300537,10.415751641587352,13.320788745389423
2021-03-01,England,6074.489217329285,5338.274285002491,6909.419169443897,10.851724639154344,9.536519123923128,12.343278843824347
2021-03-02,England,5900.260373775914,5172.820743260855,6727.1992510306,10.540474858836067,9.240945914173908,12.017753469155947
2021-03-03,England,5486.666079872274,4783.583202932445,6290.396273267055,9.801612506926078,8.545595497744536,11.23743014209658
2021-03-04,England,4923.775808105384,4251.872975344979,5699.302392475204,8.796041501244284,7.595725842672845,10.18147501554152
2021-03-05,England,4555.042888965259,3904.9707536270894,5310.844372665675,8.1373214079589,6.976005031241642,9.4875171675601
2021-03-06,England,4401.230765902338,3761.789642959959,5146.88975259581,7.862544921257621,6.720220235039285,9.194621694926832
2021-03-07,England,4225.181156161233,3589.755367450705,4970.557873290261,7.548042447158077,6.412890923959591,8.879614962530374
2021-03-08,England,3884.8334289666805,3276.1529159651836,4604.200954137146,6.94003086216079,5.8526582314763775,8.225139456185422
2021-03-09,England,3900.37246774628,3284.9883110525207,4628.537857894943,6.967790458722803,5.868442155216401,8.268615931112038
2021-03-10,England,3569.4728790707863,2975.405720778758,4279.749544771748,6.3766574282661885,5.315390712941546,7.645525726166024
2021-03-11,England,3397.8551638030244,2815.678119305835,4098.053289551343,6.070072278032709,5.0300465652374164,7.320935845589329
2021-03-12,England,3176.7626366019426,2610.1424910496676,3864.1361600579253,5.675103229751851,4.662869019673817,6.903056384975186
2021-03-13,England,3339.679851332407,2759.959546739059,4038.8420313074125,5.966145437578877,4.930508548928742,7.21515834775989
2021-03-14,England,3226.2365256518806,2653.4723941282873,3920.340453293671,5.763485479121296,4.740275392461347,7.003462113244922
2021-03-15,England,3028.180540002296,2480.303184460321,3694.9527848856096,5.409669883684197,4.430918586964712,6.600820042921081
2021-03-16,England,2967.066485677305,2422.3543109476113,3632.1667982195295,5.300493150400159,4.32739626664926,6.488656498938781
2021-03-17,England,3035.3325152787666,2483.524750873642,3707.59677825848,5.422446475023744,4.436673729557503,6.623407807836401
2021-03-18,England,3310.3074806926775,2730.5518065753745,4010.8430959920074,5.913673391489434,4.877973317224699,7.165139864664145
2021-03-19,England,3435.061024023247,2838.793999016157,4154.1696792347775,6.136538401459335,5.07134175112607,7.421184539232716
2021-03-20,England,3378.6600826471863,2784.2519436335197,4097.605966665108,6.035781372628657,4.973905514910951,7.320136729052521
2021-03-21,England,3244.6238176112133,2660.380514361345,3954.8988467438485,5.796333315715224,4.752616350830235,7.065198689980136
2021-03-22,England,3075.976440821929,2508.3963555281753,3769.848111762972,5.4950545038585705,4.481105416797137,6.734616224781771
2021-03-23,England,3220.287142800979,2634.7675888434187,3933.711211849526,5.752857249790225,4.706860336624005,7.02734820224329
2021-03-24,England,3188.9113889074847,2606.2441266318365,3899.6635696528265,5.696806275063535,4.655904816480453,6.966524053164713
2021-03-25,England,3035.088523308134,2466.4112341851696,3732.809537168964,5.4220105974405035,4.4061014190196754,6.668448947478138
2021-03-26,England,3078.9177769097823,2502.0377445200156,3786.692853163122,5.500309031137266,4.4697461249654555,6.7647083837686885
