date,covid_in_pop,covid_in_pop_lo,covid_in_pop_up
2020-07-05,1247.6232950935178,884.1002041960721,1760.0245592567742
2020-07-06,1425.4621541965328,1043.1946555833354,1947.1939573886298
2020-07-07,1711.7315442334245,1291.6758964465005,2267.709684216343
2020-07-08,1723.0003964306652,1303.9033869570874,2276.1508100918277
2020-07-09,1654.1168470658858,1248.1545724621014,2191.52069161648
2020-07-10,1748.8168676447274,1334.2067016818708,2291.6665225310103
2020-07-11,1842.94255523499,1413.13646726931,2402.83202007916
2020-07-12,2008.8010552141855,1554.7199716273697,2594.7940495542944
2020-07-13,1985.3770049034392,1533.1748735385772,2570.2366720581067
2020-07-14,1944.1184200553425,1494.371750179333,2528.492675736526
2020-07-15,1972.1417474068162,1519.4889568124577,2558.898660325187
2020-07-16,1750.040612592282,1328.0709687962612,2305.421399078996
2020-07-17,1849.345267561205,1418.0749187414112,2411.096156971421
2020-07-18,1773.3465772035377,1349.409874974588,2329.8002526794107
2020-07-19,1761.343227850283,1332.9377482651357,2326.7485965855735
2020-07-20,1990.5575182156356,1537.1970104349466,2576.8826617777618
2020-07-21,1876.3806393546465,1438.826835545496,2446.2823079593204
2020-07-22,1823.7590372422057,1391.4542083260221,2389.6571467696995
2020-07-23,1911.3196175140379,1469.1860794709805,2485.7618695814845
2020-07-24,2004.4490321396709,1554.780051064938,2583.4111941284386
2020-07-25,1951.1743182427895,1506.799479637276,2525.854256773866
2020-07-26,1860.3411840398626,1423.0060723122508,2431.346608999273
2020-07-27,1624.0461169460993,1221.8720687747923,2157.9502517831575
2020-07-28,1734.4307884355187,1316.251996292618,2284.7763549053484
2020-07-29,1843.1554243856287,1409.8647064790573,2408.8733440918663
2020-07-30,1769.1931915340278,1346.2887638716895,2324.226252605072
2020-07-31,1579.1534283542471,1184.475139752119,2104.6945048186217
2020-08-01,1438.5858712081106,1060.911820637972,1950.0853142455846
2020-08-02,1289.486707659109,931.8140658977412,1783.8636870974624
2020-08-03,1397.221516407186,1022.5449287007043,1908.555702895918
2020-08-04,1371.5992229757917,999.7293843851694,1881.1694111268923
2020-08-05,1326.6571106529022,958.6841269751415,1835.2488263719679
2020-08-06,1165.406860806678,825.8394256333434,1644.041482416559
2020-08-07,1292.8673558656303,934.2675951281334,1788.5016275204339
2020-08-08,1239.5400122851072,887.4006246086542,1730.8074117052442
2020-08-09,934.9792162525258,633.5316523318683,1379.3559674824642
2020-08-10,1045.7448934446293,723.8032931134449,1510.3116274958766
2020-08-11,1089.945850259578,759.2087538069427,1564.1484946338144
2020-08-12,874.3670250324714,582.8568652817848,1311.1315053374735
2020-08-13,944.9233818879387,640.3000416539367,1393.882630480164
2020-08-14,1035.5095190639322,711.9732907640403,1505.4196539261827
2020-08-15,1071.157557094599,736.4894857669032,1557.217421208906
2020-08-16,989.9524223451393,665.5261985586989,1471.856647146408
2020-08-17,811.3164168184848,519.5929578932545,1266.225926688611
2020-08-18,912.333880041829,596.9716022063656,1393.6070825816885
2020-08-19,1208.8732003846392,831.2308267503564,1757.1874510314842
2020-08-20,1067.7497215893825,717.8598624040649,1587.3687294678841
2020-08-21,1083.1886217601732,734.0329734831945,1597.6449509570236
2020-08-22,1073.0720377329262,727.170020253542,1582.7583764177505
2020-08-23,1049.4507543492377,711.1523429380734,1547.9679637761215
2020-08-24,1220.7940466780724,850.3974823934657,1751.7313668407076
2020-08-25,1258.9957341810186,882.3014008266258,1795.7346308324697
2020-08-26,1161.8505816934933,804.1963152466589,1677.8596457612095
2020-08-27,1304.7892420549863,919.6383741397703,1850.4731174389221
2020-08-28,1425.2295243896708,1020.4023043793826,1989.846111000955
2020-08-29,1422.5535942831302,1018.4833118531466,1986.12204109214
2020-08-30,1463.6588354436965,1047.9242345641776,2043.4682716228383
2020-08-31,1776.7018310838919,1300.4295713176818,2426.3374572475304
2020-09-01,1705.7361186549936,1238.1837359288797,2348.813748683339
2020-09-02,1939.9092600112974,1430.840451383292,2628.920202052774
2020-09-03,2211.0,1653.8125653088916,2955.7606685893297
2020-09-04,2371.0,1789.3298066445911,3139.590874561071
2020-09-05,2527.0,1928.0148725307706,3309.311047741267
2020-09-06,2693.0,2070.4701727199126,3501.1301657527815
2020-09-07,2693.0,2065.40155084552,3509.4793804808864
2020-09-08,3234.0,2529.4035505439024,4131.911731437546
2020-09-09,3583.0,2828.994214064007,4536.854889542859
2020-09-10,4193.0,3362.7943403294494,5225.930139062705
2020-09-11,4362.0,3498.6724927830783,5436.923138332775
2020-09-12,5108.0,4145.436461740519,6291.682930530294
2020-09-13,5962.0,4887.69895712965,7269.608275179704
2020-09-14,6743.0,5586.8128298846905,8135.71435864735
2020-09-15,7493.0,6219.005145423046,9023.194861890384
2020-09-16,7951.0,6621.434333569855,9542.639000163272
2020-09-17,9100.0,7614.90626632929,10869.158387338828
2020-09-18,10091.0,8481.584847954555,11999.417831163351
2020-09-19,11537.0,9762.173113695886,13627.067937118607
2020-09-20,12883.0,10990.382636843273,15092.925896823195
2020-09-21,13546.0,11615.1884318445,15788.279778919557
2020-09-22,14329.0,12339.752303193089,16630.80024588483
2020-09-23,14635.0,12636.13691828702,16941.327469131622
2020-09-24,14592.0,12629.70278770574,16849.57522510287
2020-09-25,14399.0,12515.908445125995,16558.375306154805
2020-09-26,14647.0,12802.336596553105,16749.952147105163
2020-09-27,14837.0,13005.806993556638,16918.388628159188
2020-09-28,15841.0,14023.860936370686,17885.93772070768
2020-09-29,15612.0,13869.41167915815,17566.567381334175
2020-09-30,15274.0,13618.37781055795,17125.34242031192
2020-10-01,15340.0,13744.485180726508,17113.65714305367
2020-10-02,15902.0,14318.402089272422,17655.504836364125
2020-10-03,16250.0,14706.436264587355,17950.785169871222
2020-10-04,16843.0,15297.505377822823,18537.671709894537
2020-10-05,17392.0,15876.29970458085,19046.038999171735
2020-10-06,18022.0,16512.53297435307,19662.615013670205
2020-10-07,18327.0,16820.225348230084,19963.392288287894
2020-10-08,19304.0,17771.427457349357,20963.07060151825
2020-10-09,19651.0,18120.298826022154,21305.713370268364
2020-10-10,20472.0,18929.328953607128,22134.10037821174
2020-10-11,21642.0,20048.512359017324,23354.319805261217
2020-10-12,22973.0,21333.99138593442,24730.32991521173
2020-10-13,23872.0,22192.60191137305,25671.288621304455
2020-10-14,25065.0,23336.71735351266,26913.89152762008
2020-10-15,25885.0,24126.28594647283,27763.622267743744
2020-10-16,26016.0,24271.434945066634,27878.37779688304
2020-10-17,27350.0,25555.739236046942,29260.97044980391
2020-10-18,28213.0,26384.758985349446,30157.750787714376
2020-10-19,29893.0,28023.399576529173,31876.557660495993
2020-10-20,30285.0,28431.113958931903,32250.114353325906
2020-10-21,32322.0,30408.184697514276,34345.80808847381
2020-10-22,33523.0,31580.22818829472,35574.1214849103
2020-10-23,34382.0,32430.11403461914,36440.43967791344
2020-10-24,34179.0,32249.25631099413,36212.67695725884
2020-10-25,34268.0,32340.44834030781,36299.4256940245
2020-10-26,34553.0,32663.25849695183,36540.56589823715
2020-10-27,34162.0,32298.112180704527,36121.81401674927
2020-10-28,33632.0,31805.676045096174,35552.60879196036
2020-10-29,33706.0,31887.465199527716,35617.070658219374
2020-10-30,33636.0,31835.581584679334,35528.490097210655
2020-10-31,33739.0,31935.92170504094,35633.82539032567
2020-11-01,33497.0,31701.567286861406,35383.408860029245
2020-11-02,32423.0,30682.704422813666,34253.171118622166
2020-11-03,30927.0,29229.054565984265,32714.935355297188
2020-11-04,30071.0,28402.33074484581,31829.414248134643
2020-11-05,29837.0,28186.23874039182,31575.171141167582
2020-11-06,29335.0,27698.92402370332,31059.366658837862
2020-11-07,29635.0,27997.306031141183,31359.959326066833
2020-11-08,29547.0,27910.220302053993,31271.59568835156
2020-11-09,30063.0,28426.794733346054,31784.32699337492
2020-11-10,31072.0,29423.85530168931,32803.0726368352
2020-11-11,30719.0,29088.66474166403,32431.232742875185
2020-11-12,29701.0,28101.49573718992,31381.59805297119
2020-11-13,30144.0,28542.285634300333,31825.657682435034
2020-11-14,29864.0,28268.44828773882,31541.270561153917
2020-11-15,29160.0,27569.86678610751,30833.42482351068
2020-11-16,29240.0,27650.546779929602,30910.557577741703
2020-11-17,29364.0,27760.756723022107,31049.62482651157
2020-11-18,28448.0,26860.00762764744,30121.122271688564
2020-11-19,28114.0,26527.242877076922,29787.18778479703
2020-11-20,26978.0,25415.95640884055,28626.69066759791
2020-11-21,26072.0,24523.401963397537,27710.391271459375
