date,region,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim
2020-05-12,East Midlands,611.7879186552109,342.9982499557733,961.671320077426,12.734574191083805,7.139625560234983,20.017516527431308
2020-05-12,Yorkshire and The Humber,1248.9864704965307,832.6241817628068,1751.8237918504474,22.79332527005147,15.1949394576591,31.969833498347008
2020-05-12,West Midlands,603.353904982091,296.78782126181056,1022.2054119175369,10.225025449820944,5.029656724752614,17.323292789679986
2020-05-12,Wales,2220.8378546577724,1405.2603426564508,3208.928541962244,70.7581698727175,44.773034570054605,102.2397517249477
2020-05-12,South East,682.3920377809112,468.62493343482345,934.9605389671016,7.471207081316686,5.13076608066155,10.236467327781703
2020-05-12,Scotland,1777.1643527072906,1032.4279969392178,2716.275559086847,32.679876293324696,18.985086646792407,49.948981428933756
2020-05-12,South West,428.48231002255784,239.3725997198391,676.1641503540742,7.651831917448912,4.274712994808488,12.074931230747067
2020-05-12,North West,1740.921539192278,1238.309564174534,2325.3769528393273,23.874099510144447,16.981538279538313,31.889019419243933
2020-05-12,North East,609.4732034454556,322.66409602428746,987.2513825450777,22.93055192805531,12.139772130057404,37.143912095751865
2020-05-12,London,808.4867375399637,529.223988245972,1145.6587989530024,9.075879951472864,5.940942704112952,12.860893372579374
2020-05-12,England,7527.560491698371,4795.433533412517,10922.168642417735,13.447552664584794,8.566765429676567,19.511824341015792
2020-05-12,East of England,793.6763695833746,524.8280988326705,1117.0562949137436,12.798725694410393,8.463312164886919,18.013509853292337
2020-05-12,Northern Ireland,202.31218044813838,16.704475804029652,668.4613186730455,10.75191258515254,0.8877619885658009,35.52548170361294
2020-05-13,South East,689.4777732130459,476.3907943999569,939.587014847624,7.548785648776318,5.215791040249155,10.287120555613175
2020-05-13,Yorkshire and The Humber,1091.499476974775,708.2479764293523,1559.0274096099859,19.919273105405672,12.925141208448991,28.451404151751284
2020-05-13,West Midlands,642.3779268542777,328.9906985993535,1062.5978926951302,10.886364696161488,5.575398183645818,18.00782327920181
2020-05-13,Wales,2198.5351761778657,1401.050929573248,3161.3832781983806,70.04758368147978,44.63891835559033,100.72491089899964
2020-05-13,South West,401.3227007368493,223.9457004985317,632.5148788880346,7.1668159428410325,3.9992196148305537,11.295443068074373
2020-05-13,Scotland,1496.8513969957544,836.2700649628089,2344.847608505872,27.52526428340329,15.377982474813056,43.118876234454525
2020-05-13,England,7209.828913422203,4573.7686591118845,10481.749759683431,12.879943525238449,8.170773916312617,18.725041408274333
2020-05-13,North West,1729.2273683414896,1240.3070607167406,2296.053221260412,23.713731686382623,17.008930916223097,31.48688889815876
2020-05-13,North East,615.6149806584957,325.9888639615179,996.8801467948314,23.161627454457463,12.264861737610953,37.506180489807264
2020-05-13,London,689.3736769974153,438.32448387365343,996.5182659644082,7.738745045059821,4.920526473363381,11.186677197528944
2020-05-13,East of England,712.3313623023082,461.0419316448548,1017.1081783031348,11.486966298894188,7.434704424728043,16.401759047553185
2020-05-13,East Midlands,638.6036473435462,370.531148987925,981.4627513198687,13.29275272984968,7.712732244314758,20.42948191906348
2020-05-13,Northern Ireland,189.62981118707276,15.625295168958012,629.1443700263317,10.077906080128693,0.8304087643250385,33.43597629653358
2020-05-14,South East,584.1810786405398,396.36727690180976,808.1825141518291,6.3959389469191015,4.3396491196190965,8.84843109008558
2020-05-14,Yorkshire and The Humber,1002.5113543349976,646.1945187148352,1438.245109645314,18.295288160482034,11.79269928115087,26.24719272513332
2020-05-14,West Midlands,680.6237791398955,366.3875770507592,1097.685672862008,11.534516319514525,6.209162265972978,18.602455123334316
2020-05-14,Wales,2167.376220653001,1371.7319661912911,3128.168203882169,69.05482742804111,43.70478613737298,99.66664459384262
2020-05-14,South West,326.445199682182,174.43831859895386,528.0630072125426,5.829654433329114,3.1151173867862285,9.430142805196006
2020-05-14,Scotland,1175.3572297681606,598.9168653637151,1935.149719740836,21.613380220447603,11.013347775210368,35.58503373863732
2020-05-14,England,6548.806210267548,4107.345195747568,9593.947095909132,11.699064590693636,7.337535300095992,17.139033153670464
2020-05-14,North West,1493.2833944634444,1050.9480385917466,2009.2173086635853,20.478117797776914,14.412159013766644,27.55336922696386
2020-05-14,North East,537.6595012009393,277.5087086087319,884.5602225253308,20.228664758685845,10.440865680831507,33.28030502644488
2020-05-14,London,644.6577560189178,407.20368575877467,936.340976254492,7.2367747444025,4.571171790633412,10.51114124640865
2020-05-14,East of England,636.5818979184426,407.3040004688922,916.7372535080067,10.265439927060127,6.5681332795303025,14.78319009000507
2020-05-14,East Midlands,642.862248868188,380.99307105306434,974.915031086023,13.381396973078644,7.930500720378664,20.29318888914609
2020-05-14,Northern Ireland,221.5743182572861,29.880980531643015,627.2058390839276,11.775601922434966,1.5880294005196007,33.33295276532468
2020-05-15,Yorkshire and The Humber,822.2945784565685,522.14660591366,1190.2821544969052,15.006429803126107,9.528892192492721,21.72200336149356
2020-05-15,West Midlands,595.4130138213853,320.289190168905,962.1982180380484,10.090451340758237,5.427933910325488,16.30635218562717
2020-05-15,Wales,1690.2403526780554,1008.2508880031106,2531.0073768976818,53.85278972513989,32.12390650583361,80.64048870025441
2020-05-15,South West,276.8113744161988,147.83461777269096,447.6911475919222,4.943294181174624,2.6400288187332253,7.994863106770627
2020-05-15,South East,460.9259556726874,304.53057587519385,649.6813930316257,5.046473395532304,3.3341699037916905,7.1130727726573575
2020-05-15,Scotland,1209.387000571416,642.2047372745328,1954.341900897648,22.23914603577382,11.809358733280613,35.93795444912097
