date,region,covid_in_pop,covid_in_pop_lolim,covid_in_pop_uplim,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim
2020-07-01,Northern Ireland,0.0,0.0,533.3551903479096,0.0,0.0,28.345245307304406
2020-07-01,England,1169.7823939484886,837.4143106872673,1633.5779415949328,2.089748779312327,1.4959923679740827,2.918292775664634
2020-07-01,South East,160.70242439004986,77.87648375787123,331.1918229016174,1.7594594083953508,0.8526350026180319,3.6260720458921556
2020-07-01,London,110.8440172809798,37.70603109735829,325.2494462336144,1.2443085921757986,0.42327894298848756,3.6511729769140446
2020-07-01,East of England,29.292440681652213,5.171228753138839,165.53531402116352,0.4723662283167814,0.08339058695827686,2.6694017336147975
2020-07-01,South West,107.80062049109105,41.93965304554719,276.4188870659136,1.9251021787833005,0.7489578175672097,4.936285146813441
2020-07-01,North East,0.0,1.759316487216128e-14,193.90327876129197,0.0,6.619175025240247e-16,7.29533173488227
2020-07-01,Scotland,73.02965464238859,0.0,393.72228925129247,1.3429259234362845,0.0,7.240070783017827
2020-07-01,North West,178.30821899008365,69.3772464920805,456.9201196273835,2.4452268915122675,0.9514037532445143,6.265966707053565
2020-07-01,East Midlands,276.84846785974776,134.26395532445753,568.7013313142937,5.76269528400863,2.794750023874312,11.837712179915606
2020-07-01,Yorkshire and The Humber,173.03450006942197,67.33526987188316,442.97477918222677,3.1577857216140544,1.2288321327663194,8.084049320658966
2020-07-01,West Midlands,220.5780005629791,85.84908395587475,564.1447352569053,3.7381305578755253,1.4548825507621268,9.560548506859464
2020-07-01,Wales,121.07007454228507,0.0,402.6729001013765,3.8574166425516436,0.0,12.82957123986147
2020-07-02,England,1329.8662300950773,977.0130366947847,1809.6337658579569,2.3757293197150404,1.7453774405969245,3.2328063516491614
2020-07-02,South East,134.8284032242601,61.81362150141891,293.7217014412572,1.4761762523013597,0.6767698641165901,3.2158283424298375
2020-07-02,London,175.5779853168047,75.02555069214121,410.18176278849694,1.9709967311344014,0.8422189997165631,4.604602975528589
2020-07-02,East of England,28.52729471929439,5.036135346573761,161.22784763945967,0.4600275803946515,0.08121208761016409,2.5999400704355575
2020-07-02,South West,103.57081870621157,40.29338105713846,265.6022734185419,1.8495664295937497,0.7195587122808216,4.743122190934784
2020-07-02,Wales,130.8765271367484,0.0,519.2180266822071,4.169860271460659,0.0,16.542818403380554
2020-07-02,North West,262.73459210407475,120.5063986734599,571.1759996158793,3.603006600492818,1.6525625588354387,7.832812878495643
2020-07-02,Yorkshire and The Humber,208.217219892699,89.00994116936374,485.31666569658194,3.799851264964765,1.6243831212478201,8.856765770890508
2020-07-02,East Midlands,303.131949066812,153.7979323991938,595.3021212198056,6.309794909916658,3.2013564191950294,12.391416694607216
2020-07-02,West Midlands,260.80399172151897,111.5091333650084,607.3201792876562,4.4198395514595665,1.8897428476551128,10.292241813849582
2020-07-02,North East,0.0,0.0,189.14154766552846,0.0,0.0,7.116178457032519
2020-07-02,Northern Ireland,0.0,0.0,540.7715860517596,0.0,0.0,28.739390821074586
2020-07-02,Scotland,80.35713679781433,0.0,506.1458402523165,1.4776693477099416,0.0,9.307402222326115
2020-07-03,South West,177.72661527562317,86.15266705235375,365.8029781289445,3.1738397491242565,1.5385132877243968,6.532505165493448
2020-07-03,England,1414.4825766946315,1054.1129965557652,1897.5240611709396,2.5268915426473115,1.883112072130119,3.3898172951322048
2020-07-03,South East,194.9818608736499,102.63130295077057,369.9842826045211,2.134769720386483,1.1236645138241452,4.050793442959626
2020-07-03,London,202.91698873046334,93.04027210253051,441.81113535213404,2.2778978854195797,1.0444479804632503,4.959666794140444
2020-07-03,East of England,27.43594622270174,4.84345920442465,155.07245644361345,0.44242863127609755,0.0781050162826932,2.5006790032340995
2020-07-03,Wales,159.42461423360749,0.0,539.2134159217802,5.0794315812724555,0.0,17.17989199500611
2020-07-03,Northern Ireland,0.0,3.988240712700554e-14,567.2915657079901,0.0,2.1195567867697012e-15,30.148799302522434
2020-07-03,Scotland,88.90222100725005,0.0,478.39952687577903,1.6348029827927042,0.0,8.797181494929829
2020-07-03,East Midlands,216.16088634044945,99.15982788134122,469.5891571833906,4.499462575795411,2.0640456380795267,9.77465847090485
2020-07-03,Yorkshire and The Humber,206.3167136119416,88.19579216305851,480.9377485704154,3.765168056732847,1.6095253437159092,8.776852909746678
2020-07-03,West Midlands,303.6058214246151,139.30254765751718,658.906216902752,5.145201224599066,2.3607572326316295,11.166469266617012
2020-07-03,North East,0.0,1.784608859790008e-14,176.0945849931524,0.0,6.714333936150591e-16,6.625305267906177
2020-07-03,North West,170.55331273203032,66.35809703062844,437.12704753018954,2.3388801093462512,0.9100006956936567,5.994534731389047
2020-07-04,South West,175.99050124551144,85.3105962008157,362.23853011844204,3.14283624574219,1.5234755966276206,6.468851295971007
2020-07-04,England,1097.520686650822,785.6668416815284,1532.7319091063232,1.96065740693613,1.403548499142862,2.738137154942543
2020-07-04,South East,130.4299068129819,59.79644737735033,284.15393938084094,1.4280190703360593,0.6546847213165674,3.1110751687401326
2020-07-04,London,170.4099577763447,72.81626769501196,398.1368121174633,1.9129816823213068,0.8174181139014336,4.469389222184478
2020-07-04,East of England,0.0,1.0475150253119081e-14,104.49896366526757,0.0,1.6892096052674655e-16,1.685137195156748
2020-07-04,Wales,127.18133144099328,0.0,559.2643630605627,4.052127549909285,0.0,17.818735718233928
2020-07-04,Scotland,73.80772836943383,0.0,527.7800325229751,1.3572337465187077,0.0,9.705228526929904
2020-07-04,North West,170.96628762962396,66.51860543852989,438.192874997182,2.3445434339581785,0.9122018251622668,6.0091509392047255
2020-07-04,Yorkshire and The Humber,165.79221778893526,64.51408300421902,424.55977358463076,3.0256180003327837,1.1773470034704814,7.747985462201829
2020-07-04,East Midlands,148.3093853173785,57.71136133442429,379.7766198694896,3.08711043969241,1.201281669957037,7.9051798740940304
2020-07-04,West Midlands,205.33468447656148,79.91161111695756,525.3646943365328,3.4798024130897356,1.3542603282419112,8.903344000380507
2020-07-04,North East,0.0,0.0,177.54495428903937,0.0,0.0,6.679873324821856
2020-07-04,Northern Ireland,0.0,3.893061467390243e-14,568.35608396424,0.0,2.0689736274547043e-15,30.205373292339285
2020-07-05,England,1156.512382920636,831.8669739640679,1607.3951439611826,2.0660426699620973,1.4860823708620465,2.871518717790994
2020-07-05,South East,134.3315511268801,61.58583398220794,292.6393164250647,1.4707364395503437,0.6742759198260049,3.2039777900347857
2020-07-05,London,176.74403713560338,75.5240394067708,412.89906618300984,1.9840865517006792,0.8478149155443333,4.63510677757656
2020-07-05,East of England,0.0,-1.0410730095765722e-14,105.70149470259123,0.0,-1.6788212914061218e-16,1.7045290599968206
2020-07-05,Wales,129.3644979437968,0.0,556.7114277996852,4.121685471907873,0.0,17.73739658467928
2020-07-05,South West,181.9849196791097,88.21841443435422,374.53977281669466,3.2498844977326553,1.575403379523392,6.688526739509899
2020-07-05,North West,174.46883428172137,67.88188239159902,447.14721806894266,2.3925755511033855,0.9308971017182449,6.131946178812347
2020-07-05,East Midlands,150.55383349906162,58.58544669221876,385.49336271609985,3.1338293941145796,1.219476054806351,8.024175826272247
2020-07-05,Yorkshire and The Humber,212.60253371066815,90.88523132287489,495.51931054780243,3.879880862262552,1.6586061488421155,9.042958502518927
2020-07-05,West Midlands,205.4715740393947,79.96536550020828,525.6941886350468,3.482122277521252,1.3551713026008068,8.908927933060907
2020-07-05,North East,0.0,0.0,176.5008223817644,0.0,0.0,6.6405893648640495
2020-07-05,Northern Ireland,0.0,0.0,604.7587470869715,0.0,0.0,32.139998537815785
2020-07-05,Scotland,80.62978879551464,0.0,537.9570117966791,1.482683084082945,0.0,9.892370713975087
2020-07-06,South West,195.2825718784099,99.02920242409735,384.25354776031384,3.4873538101072623,1.7684623008784766,6.861995215136321
2020-07-06,England,1378.1575593377759,1027.031150152071,1848.831107377014,2.461998994193269,1.8347319154818253,3.3028301415570005
2020-07-06,South East,171.37840426064835,86.8772190399101,337.6703559712053,1.8763459662581763,0.9511800521688827,3.697002624600915
2020-07-06,London,200.75273503952218,92.04680971941487,437.12420470746986,2.2536024878929837,1.033295607880248,4.907052424730645
2020-07-06,East of England,79.6256272817397,27.087391195113558,233.57230550411185,1.284032889072038,0.4368078765724511,3.7665577337616774
2020-07-06,Wales,138.1513991830358,0.0,510.4664603104877,4.401645149845134,0.0,16.263984530532188
2020-07-06,Northern Ireland,0.0,0.0,642.6763716749691,0.0,0.0,34.15513664815457
2020-07-06,North West,247.07588469704038,113.31771437774321,537.2834754743915,3.388271168470292,1.5539806524374171,7.368028294131624
2020-07-06,East Midlands,104.86425909008837,35.679281967815804,307.15374773662825,2.182785319316457,0.7426764233960229,6.393510020955391
