date,region,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim
2020-05-12,East Midlands,589.7222032319054,330.6185203760952,926.9719737991707,12.275268798530297,6.881937266643795,19.295237799642987
2020-05-12,Yorkshire and The Humber,1198.2281446145994,798.8436694122564,1680.6244228527994,21.867013368906374,14.578463439717142,30.67048365355594
2020-05-12,West Midlands,579.807414984152,285.23282586515165,982.3144341330333,9.825983598107022,4.833834470139198,16.647261260428678
2020-05-12,Wales,2137.3004107977954,1352.3271718615865,3089.073348760429,68.09658130560094,43.08652950479321,98.4210424468639
2020-05-12,South East,666.2570485700332,459.2269432640383,910.4734225428438,7.294552256853474,5.027871663923562,9.968368775188864
2020-05-12,Scotland,1659.9740037968784,952.2062072882336,2556.787136417621,30.52488927744761,17.509906167378926,47.01618463098548
2020-05-12,South West,413.9019953173642,231.24390228347562,653.1266076743582,7.391456833535233,4.129550814163091,11.663527071805332
2020-05-12,North West,1673.6619761004513,1190.4228671196522,2235.617225410101,22.951736574128326,16.324844830142073,30.65810084169389
2020-05-12,North East,556.6595212128775,287.378253821588,915.6178963351332,20.9435131606416,10.812193112013539,34.448805295257785
2020-05-12,London,773.2724674022314,506.2424935050705,1095.7559172520632,8.68057292476608,5.6829579064791895,12.300695483708145
2020-05-12,England,7226.3079518218065,4603.962703260263,10487.431757664284,12.909382376906901,8.224713834735049,18.73519196995655
2020-05-12,East of England,774.797180388193,514.7532276129351,1086.9298576647814,12.494282254864824,8.300846053900656,17.527694700824412
2020-05-12,Northern Ireland,196.9464525268879,16.268464587245305,650.7260418168787,10.466750132564636,0.8645901040127945,34.582937631335156
2020-05-13,South East,666.4645795144727,462.1496610163704,906.118155270374,7.2968244209114435,5.0598712013726255,9.920684889847939
2020-05-13,Yorkshire and The Humber,1037.8021831047856,673.3643489151738,1482.3753581357737,18.939326633436576,12.288533937423955,27.052545810896817
2020-05-13,West Midlands,611.2308492636326,313.0305723648468,1011.1307331312739,10.358515852519137,5.304922272936284,17.135610450172305
2020-05-13,Wales,2101.5752185752135,1339.2575507569193,3021.96236429971,66.95834007168136,42.670117983188184,96.28281770936786
2020-05-13,South West,383.3597854385065,213.91818181442318,604.2441174165867,6.846034418387773,3.820148307275669,10.790584151153347
2020-05-13,Scotland,1382.8670965784613,761.8421279725992,2187.85023457936,25.429232573480835,14.009343851209048,40.23188677257424
2020-05-13,England,6839.505336236547,4336.820915710392,9949.871499565617,12.218381813096304,7.747480438743075,17.774871572778487
2020-05-13,North West,1648.4669956781972,1182.353088725176,2188.807123754883,22.606225615583853,16.214180054000632,30.016171265984717
2020-05-13,North East,556.4455611401809,287.53588843971374,915.1681227452699,20.93546322090714,10.818123887601638,34.43188321139927
2020-05-13,London,652.4424468796087,414.8293305970633,943.148063234693,7.3241638337101875,4.656775467096262,10.5875559869145
2020-05-13,East of England,673.089328467819,435.586227202481,961.0960994266997,10.854154178001581,7.024208924292583,15.498515281470684
2020-05-13,East Midlands,610.2036067493444,354.053616635143,937.7837264500612,12.701596198397356,7.369746788351963,19.520288118667036
2020-05-13,Northern Ireland,182.69829675700439,15.060079249019461,605.5198681684318,9.709529657761363,0.8003702755427294,32.18044843715675
2020-05-14,South East,550.5156533435282,373.516172049105,761.6675304925811,6.027351170466582,4.0894625304750845,8.339159211075353
2020-05-14,Yorkshire and The Humber,942.6786336441763,607.5415104078259,1352.4818994262268,17.203373478687393,11.087302856274134,24.682060681749114
2020-05-14,West Midlands,641.9920275622652,345.5935330283775,1035.410624307946,10.879824869288214,5.856766056090389,17.54708123564394
2020-05-14,Wales,2056.7826057504203,1301.7384995135494,2968.555535605791,65.53120152545553,41.47472256259336,94.58122141805748
2020-05-14,South West,309.69467474152674,165.48664647775553,500.98356509088205,5.530523761240965,2.9552585341584114,8.946558454835488
2020-05-14,Scotland,1120.6856930597191,571.1176698859921,1844.6116194459162,20.60803760614405,10.502154610727867,33.92014893889256
2020-05-14,England,6149.3296870796885,3854.298364039309,9014.396255646778,10.985422821921622,6.885481729785143,16.103699003273757
2020-05-14,North West,1413.1340180375503,994.5294092946637,1901.4172166265805,19.378990614046614,13.638463048875868,26.075054399698143
2020-05-14,North East,480.25710781198336,242.7156269076788,800.4753786527924,18.068982339575328,9.131826067321297,30.116733817929525
2020-05-14,London,590.8387668516798,370.65658082093086,861.9224791024319,6.632615563909667,4.1609026772537305,9.675736885446279
2020-05-14,East of England,611.3574097884625,393.4116159836656,876.7003190533127,9.85867299190872,6.3441064279295265,14.137559501305914
2020-05-14,East Midlands,608.8613952985164,360.84726906930564,923.337242894024,12.673657609256425,7.5111589808997525,19.21957963614417
2020-05-14,Northern Ireland,212.08668143670897,28.607313086227744,600.4106103382961,11.271379974411087,1.5203401442161724,31.908916127817086
2020-05-15,Yorkshire and The Humber,767.6427912365635,487.4242267399641,1111.2259209501606,14.00906434551631,8.89522761617311,20.279270002548735
2020-05-15,West Midlands,556.0830157287471,299.0982732872241,898.7856561945023,9.423926722092556,5.068811904764493,15.231700885064447
2020-05-15,Wales,1596.134724257747,952.178113792152,2390.3059044199217,50.85448796809013,30.33737045839896,76.15759560202909
2020-05-15,South West,260.2975170058381,139.01577372941884,420.9922507039042,4.648389914984157,2.482542008316801,7.518074528596518
2020-05-15,South East,431.2745491545815,284.9172763615238,607.8681610321869,4.721833326358171,3.119432606019229,6.655278282524046
2020-05-15,Scotland,1144.4257657677838,607.7718117829693,1849.1993321165455,21.044588473323106,11.176179396902764,34.004511357212
