region,# total tests,# +ve tests,population,# active users,# newly sick users,"est. daily
cases","est. daily
cases
95% lower lim.","est. daily
cases
95% upper lim.","est. daily
cases/million","est. daily
cases/million
95% lower lim.","est. daily
cases/million
95% upper lim."
East Midlands,1690.0,203.0,4804149.0,51707.0,2706.0,4002.0,3343.0,4735.0,833.0,696.0,986.0
East of England,3533.0,392.0,6201214.0,97913.0,5430.0,5052.0,4443.0,5715.0,815.0,716.0,922.0
England,27799.0,3487.0,55977178.0,735430.0,42861.0,56119.0,49235.0,63577.0,1003.0,880.0,1136.0
London,5278.0,755.0,8908081.0,109879.0,7938.0,12187.0,11122.0,13311.0,1368.0,1249.0,1494.0
North East,964.0,193.0,2657909.0,23500.0,1421.0,4260.0,3549.0,5033.0,1603.0,1335.0,1893.0
North West,2454.0,351.0,7292093.0,66952.0,3672.0,7574.0,6614.0,8604.0,1039.0,907.0,1180.0
Northern Ireland,99.0,15.0,1881639.0,4664.0,244.0,2014.0,953.0,3437.0,1070.0,506.0,1827.0
Scotland,1326.0,95.0,5438100.0,46643.0,2271.0,2518.0,1919.0,3197.0,463.0,353.0,588.0
South East,6629.0,715.0,9133625.0,181542.0,10329.0,7421.0,6741.0,8138.0,812.0,738.0,891.0
South West,3452.0,374.0,5599735.0,98481.0,5456.0,4450.0,3902.0,5049.0,795.0,697.0,902.0
Wales,876.0,70.0,3138631.0,39657.0,1931.0,1623.0,1181.0,2136.0,517.0,376.0,680.0
West Midlands,1758.0,237.0,5900757.0,52399.0,2706.0,5442.0,4612.0,6355.0,922.0,782.0,1077.0
Yorkshire and The Humber,2041.0,267.0,5479615.0,53057.0,3203.0,5732.0,4908.0,6637.0,1046.0,896.0,1211.0
