date,imd,respondent_count,unhealthy_count,unhealthy_unk_count,predicted_covid_positive_count,predicted_covid_positive_prob,population,corrected_covid_positive,corrected_covid_positive_prob,factor,factor_prob,+ symptom_based,+ response_rate
20211101,1,68565,7878,7878,605,3398.4520588962737,19898378,382226.87012270803,1425957.16787707,1.51352583291269,0.28402453434429786,254734.8331066034,0.003445758242204465
20211101,2,182552,19104,19101,1400,7993.9448365556955,20057685,352737.86193233595,1342787.3106481396,1.51352583291269,0.28402453434429786,236967.0158098142,0.009101349432898163
20211101,3,420555,41616,41611,3526,19010.351747284032,25874671,491269.8515606629,1784444.6046217668,1.51352583291269,0.28402453434429786,326467.1516932962,0.016253539996701795
20211102,1,68577,7877,7877,578,3162.218658342839,19898378,386965.5701221262,1332671.008531954,1.6936612612739839,0.3213638387129626,247017.74698809668,0.003446361306434122
20211102,2,182725,19043,19041,1379,7646.322300961307,20057685,350921.07759023464,1230126.5419979093,1.6936612612739839,0.3213638387129626,222358.53047748288,0.009109974555887182
20211102,3,421429,41447,41443,3353,17584.498742549822,25874671,484243.6998105443,1596825.238360376,1.6936612612739839,0.3213638387129626,302069.76154308004,0.01628731820396866
20211103,1,68526,7825,7825,568,3095.661131901355,19898378,403821.3959882898,1333420.1364970948,1.9363373380187494,0.35370315400049973,258873.61321215087,0.0034437982834580787
20211103,2,182520,18884,18882,1358,7461.986076945757,20057685,353411.68481784017,1198359.4928064775,1.9363373380187494,0.35370315400049973,218359.2553690054,0.009099754034426207
20211103,3,421081,41451,41447,3238,16804.06137434646,25874671,457241.33970620757,1482189.8876430392,1.9363373380187494,0.35370315400049973,280319.0625153021,0.016273868757596958
20211104,1,67993,7690,7690,556,3011.3982488420356,19898378,401302.05074495816,1315566.2881988392,1.9552180071384684,0.36864608026700824,251321.08465831543,0.0034170121805907998
20211104,2,180913,18708,18706,1308,7156.473846241048,20057685,346149.4186862717,1142793.2563753105,1.9552180071384684,0.36864608026700824,208144.33095491986,0.009019635117412602
20211104,3,417253,40906,40905,3155,16462.349593828778,25874671,455652.7907470425,1429716.4570901168,1.9552180071384684,0.36864608026700824,268832.5928148754,0.016125924847508206
20211105,1,67676,7674,7674,550,2947.936327346474,19898378,398736.6609289195,1309321.1407391154,2.1913249441083233,0.4060868566168053,243551.34660308599,0.0034010812338573526
20211105,2,180304,18613,18612,1247,6754.423339509885,20057685,335912.72789161664,1049727.9513483741,2.1913249441083233,0.4060868566168053,191830.55642522062,0.008989272690243166
20211105,3,415766,40633,40632,3025,15554.922981143689,25874671,454682.0599870509,1332710.432113783,2.1913249441083233,0.4060868566168053,255727.73845410117,0.01606845551775325
20211106,1,67405,7562,7562,522,2897.04213255814,19898378,407590.43867563515,1348417.7361893351,1.9268737610225783,0.34405118502964355,239571.46325316277,0.0033874620333375917
20211106,2,179726,18354,18353,1186,6641.247949179607,20057685,325821.0681959819,1015180.1645370043,1.9268737610225783,0.34405118502964355,179151.2362026731,0.008960455805343439
20211106,3,413936,40200,40199,2843,15303.675642004438,25874671,440138.9913390264,1333612.3976392709,1.9268737610225783,0.34405118502964355,243387.0660914054,0.015997729980798597
20211107,1,67415,7600,7600,512,2860.825426865704,19898378,398912.95240152196,1290568.45143831,1.9409877889007412,0.3426982428388235,231913.79319764904,0.003387964586862306
20211107,2,179645,18392,18391,1165,6478.963271727694,20057685,320592.0117163599,998910.9013411701,1.9409877889007412,0.3426982428388235,178895.4604849142,0.008956417452961296
20211107,3,413940,40495,40494,2804,14980.412155530203,25874671,436118.0612087436,1313051.6432359861,1.9409877889007412,0.3426982428388235,241816.36553288708,0.015997884572136203
20211108,1,67347,7623,7623,493,2833.284411079919,19898378,390457.5517039962,1277807.9282220453,1.9465524616805765,0.33532743203662435,224411.6476023502,0.003384547222894248
20211108,2,179369,18440,18440,1180,6523.821037442855,20057685,326209.30920333776,1007222.3857336157,1.9465524616805765,0.33532743203662435,180969.62788579502,0.008942657141140665
20211108,3,413112,40448,40448,2741,14526.613840582326,25874671,418606.5924234191,1265327.5493973484,1.9465524616805765,0.33532743203662435,234852.34803216325,0.0159658841652518
20211109,1,67219,7629,7629,477,2762.1152120099086,19898378,371824.17481015244,1235791.7695254588,1.7533927663377538,0.30264863391240615,211749.05332469527,0.003378114537777903
20211109,2,179108,18521,18521,1153,6404.693721383721,20057685,320234.1180556099,1014155.0796805421,1.7533927663377538,0.30264863391240615,179434.32547886073,0.008929644672353763
20211109,3,412163,40750,40750,2708,14548.314044842136,25874671,421456.5397515161,1296062.0059815878,1.7533927663377538,0.30264863391240615,239168.1398387477,0.015929207370404826
20211110,1,67000,7658,7658,480,2742.8732977465907,19898378,358678.7244006334,1221971.3764353828,1.771046663459874,0.3066167616272619,210791.47450205212,0.0033671086155866573
20211110,2,178562,18520,18520,1144,6304.176487483052,20057685,309373.66528893047,1002144.7683928125,1.771046663459874,0.3066167616272619,176752.85023267168,0.008902423185925993
20211110,3,411335,40776,40776,2697,14425.11546145961,25874671,424090.85475500923,1326295.3780274016,1.771046663459874,0.3066167616272619,246478.69097205505,0.015897206963520424
20211111,1,66858,7677,7677,492,2883.057286048822,19898378,329955.1200546625,1274198.4025103904,1.5475334275754893,0.254873410119528,213365.44372669738,0.0033599723555357125
20211111,2,177973,18612,18612,1195,6846.308629605961,20057685,326560.2489726761,1186095.9543947796,1.5475334275754893,0.254873410119528,204151.03827572495,0.00887305788280153
20211111,3,409888,40936,40936,2750,15494.954220403662,25874671,414873.1546435404,1482222.1090956007,1.5475334275754893,0.254873410119528,261863.31340761748,0.015841283547141528
20211112,1,66796,7654,7654,488,2917.8592928143426,19898378,310417.0840223814,1272594.9565255912,1.3227956395531137,0.22138768568484202,206043.3341909019,0.003356856523682483
20211112,2,177599,18498,18498,1212,6967.106376810592,20057685,318736.4510223252,1225200.6097946693,1.3227956395531137,0.22138768568484202,208211.16722616507,0.00885441166316053
20211112,3,409153,41110,41110,2815,15944.819739001488,25874671,422088.90739744937,1567702.8837198147,1.3227956395531137,0.22138768568484202,274509.79703426233,0.01581287738885646
20211113,1,66695,7684,7684,529,3241.1319930077257,19898378,315301.0538521787,1392385.0761281492,1.3189629738475108,0.20760733017368324,219914.18168401587,0.0033517807330828674
20211113,2,177726,18553,18553,1208,7308.624176587125,20057685,310167.594445453,1323535.4072154844,1.3189629738475108,0.20760733017368324,217137.24296239024,0.008860743400846109
20211113,3,409473,41320,41320,2869,16837.740163290604,25874671,407647.89986428415,1680301.2571368846,1.3189629738475108,0.20760733017368324,285020.2806848431,0.015825244695864927
20211114,1,66599,7590,7590,521,3229.460875051715,19898378,309052.3708952116,1442587.6056448524,1.506967982966561,0.23713557140404054,228779.3376883702,0.003346956219245609
