date,age_group,respondent_count,unhealthy_count,unhealthy_unk_count,predicted_covid_positive_count,predicted_covid_positive_prob,population,corrected_covid_positive,corrected_covid_positive_prob,factor,factor_prob,+ symptom_based,+ response_rate
20211101,0 - 17,25340,4000,4000,619,3535.78445239216,14044453,462054.39258344966,1784164.938857537,1.51352583291269,0.28402453434429786,313041.5690538759,0.0018042710527779188
20211101,18 - 34,34223,4864,4864,305,1898.5398080244706,14704349,223292.3309128337,886090.0442322037,1.51352583291269,0.28402453434429786,145875.35631199856,0.0023274066740390886
20211101,35 - 54,151596,23714,23710,2318,11486.505725305076,17542141,397052.79347607034,1317056.7533851166,1.51352583291269,0.28402453434429786,264055.85168379574,0.008641818578473404
20211101,55 - 74,376996,31355,31351,2077,11914.238203135677,14608166,122941.60967237252,468853.8104276314,1.51352583291269,0.28402453434429786,81298.2127914953,0.0258072094744816
20211101,75 - 119,83517,4665,4665,212,1567.680453878612,4931625,20893.45697098061,97023.53624448765,1.51352583291269,0.28402453434429786,13898.010768547972,0.016934985932628696
20211102,0 - 17,25656,3895,3895,542,3010.806362723625,14044453,435917.79496473237,1563866.0732860062,1.6936612612739839,0.3213638387129626,279156.7742403766,0.00182677103907144
20211102,18 - 34,34198,4799,4799,289,1728.7424639470237,14704349,229404.14369618765,815038.7207562589,1.6936612612739839,0.3213638387129626,142932.4825535012,0.002325706496765005
20211102,35 - 54,152049,23724,23722,2249,10799.074628135244,17542141,410564.3889741091,1244577.3840982,1.6936612612739839,0.3213638387129626,257859.27241015146,0.008667642108223848
20211102,55 - 74,377238,31324,31320,2034,11412.364412947025,14608166,126892.98977067029,448497.5415336734,1.6936612612739839,0.3213638387129626,79362.70013895752,0.02582377555129097
20211102,75 - 119,83590,4625,4625,196,1442.051834101035,4931625,19351.03011720592,87643.06921609884,1.6936612612739839,0.3213638387129626,12134.809665672628,0.016949788355765088
20211103,0 - 17,25753,3794,3794,507,2832.224593467199,14044453,429543.6339065146,1491806.4131419845,1.9363373380187494,0.35370315400049973,271987.6069403722,0.0018336776804336915
20211103,18 - 34,34125,4782,4782,273,1635.5325010972801,14704349,231119.78384795124,795526.6312727131,1.9363373380187494,0.35370315400049973,145267.17339983318,0.002320741979124679
20211103,35 - 54,152029,23548,23546,2194,10385.339988356413,17542141,408399.6650579895,1200679.171529213,1.9363373380187494,0.35370315400049973,250670.24082443104,0.008666501996535087
20211103,55 - 74,376767,31482,31478,2004,11097.23733060965,14608166,127659.18955941219,441545.68635701115,1.9363373380187494,0.35370315400049973,78558.47152346605,0.025791533310889264
20211103,75 - 119,83453,4554,4554,186,1411.3741696630227,4931625,17752.148140470123,84411.61464568855,1.9363373380187494,0.35370315400049973,11068.438408356165,0.016922008465769398
20211104,0 - 17,25692,3679,3679,458,2593.924665329157,14044453,418680.7416607341,1411707.1551278494,1.9552180071384684,0.36864608026700824,258421.15128253045,0.0018293343286491827
20211104,18 - 34,33851,4670,4670,260,1585.1758019515855,14704349,226265.86947796858,795293.2723751103,1.9552180071384684,0.36864608026700824,137473.63553101974,0.0023021080362007184
20211104,35 - 54,150951,23362,23361,2117,9999.045177925911,17542141,409416.0056930421,1161723.7696469168,1.9552180071384684,0.36864608026700824,243686.4447643521,0.00860504997651085
20211104,55 - 74,373266,31168,31166,2011,11135.031476005795,14608166,131481.10631257703,440831.79757957946,1.9552180071384684,0.36864608026700824,78374.20581964408,0.025551872836056217
20211104,75 - 119,82399,4425,4425,173,1317.0445676994307,4931625,17260.53703395095,78520.00693480732,1.9552180071384684,0.36864608026700824,10342.571030564417,0.016708285808430284
20211105,0 - 17,25611,3600,3600,408,2302.2877913036864,14044453,395531.2319330314,1307273.6463931238,2.1913249441083233,0.4060868566168053,236273.88070222817,0.0018235669270992613
20211105,18 - 34,33754,4638,4638,259,1530.9004079904394,14704349,221577.0889032881,769749.8121613486,2.1913249441083233,0.4060868566168053,130689.68201697707,0.0022955113483772724
20211105,35 - 54,150310,23041,23040,2054,9482.142933205867,17542141,419678.204639746,1109961.2621192338,2.1913249441083233,0.4060868566168053,237660.03168633254,0.008568509396886047
20211105,55 - 74,372024,31279,31278,1940,10681.460447311367,14608166,136160.19192238458,430049.4707622946,2.1913249441083233,0.4060868566168053,77175.66322636297,0.02546685189639822
