date,age_group,imd,respondent_count,unhealthy_count,unhealthy_unk_count,predicted_covid_positive_count,predicted_covid_positive_prob,population,corrected_covid_positive,corrected_covid_positive_prob,factor,factor_prob,+ symptom_based,+ response_rate
20211102,55 - 74,1,33666,2993,2993,179,1059.0519279281593,3673492,31186.96811575769,113991.62465493128,1.6936612612739839,0.3213638387129626,19255.11296474982,0.009164576920270957
20211102,55 - 74,2,100841,8509,8507,534,3162.7461979762033,4474672,38432.68023050997,140204.94331518235,1.6936612612739839,0.3213638387129626,24328.7220275675,0.022535953473237814
20211102,55 - 74,3,242731,19822,19820,1321,7190.566287042652,6460002,57273.34142440259,194300.97356355994,1.6936612612739839,0.3213638387129626,35778.86514664019,0.03757444657137877
20211102,75 - 119,1,6383,357,357,20,129.88374380582886,1141072,4886.847282087431,22281.824687667257,1.6936612612739839,0.3213638387129626,3065.6906467346184,0.0055938626134021344
20211102,75 - 119,2,21479,1220,1220,52,376.9518236234393,1508207,5859.937494560447,26039.61421977177,1.6936612612739839,0.3213638387129626,3636.5497097773277,0.014241413811234135
20211102,75 - 119,3,55728,3048,3048,124,935.2162666717667,2282346,8604.245340558042,39321.63030865972,1.6936612612739839,0.3213638387129626,5432.569309160682,0.0244169814743251
20211103,0 - 17,1,2350,323,323,57,296.1391455030335,4829017,150998.23046011763,516034.27099009545,1.9363373380187494,0.35370315400049973,99423.8167908106,0.0004866414841778358
20211103,0 - 17,2,6598,1004,1004,124,698.7221946116033,4042171,126483.9017243028,441160.7971075121,1.9363373380187494,0.35370315400049973,78189.8946471049,0.001632291162348154
20211103,0 - 17,3,16805,2467,2467,326,1837.3632533525579,5173265,152061.50172209425,534611.3450443773,1.9363373380187494,0.35370315400049973,94373.89550245658,0.00324843208302687
20211103,18 - 34,1,5637,916,916,58,321.4598511207784,5080285,102654.4298465181,327573.52416729875,1.9363373380187494,0.35370315400049973,65642.00596857215,0.0011095834190404672
20211103,18 - 34,2,10397,1476,1476,80,495.06962973901443,4715008,63394.98065074012,233771.27473371738,1.9363373380187494,0.35370315400049973,40045.365334680326,0.002205086396459985
20211103,18 - 34,3,18091,2390,2390,135,819.0030202374899,4909056,65070.37335069308,234181.83237169753,1.9363373380187494,0.35370315400049973,39579.80209658074,0.003685229909783062
20211103,35 - 54,1,20546,3249,3249,263,1339.1109518856222,5174512,115092.34310670487,356396.3808427789,1.9363373380187494,0.35370315400049973,72105.85219784388,0.003970615973061808
20211103,35 - 54,2,43336,6674,6674,570,2792.22958849635,5317627,118797.38342214597,357254.6904313686,1.9363373380187494,0.35370315400049973,72360.43369995503,0.008149499767471468
20211103,35 - 54,3,88147,13625,13623,1361,6253.999447974438,7050002,174509.93852913834,487028.10025506467,1.9363373380187494,0.35370315400049973,106203.95492663234,0.012503117020392335
