file,0,-1,-2,-3,-4,-5,-6,-7,-8
20200705,1247.6232950935178,1209.2453867338559,1307.2339566599792,1022.0544873590217,1168.7907059707422,1192.344163295542,1177.0218953799233,1175.7557045953538,1222.5939518270602
20200706,1425.4621541965328,1239.1212317511017,1239.971045415925,1339.275634645449,1058.3594397322543,1166.4433081679888,1190.5305396989336,1175.4322458974498,1174.4754320997538
20200707,1711.7315442334245,1445.2976553598435,1234.5910183341841,1235.6880788732078,1334.7912025856951,1055.1853883120464,1163.9992709913595,1188.4967967251669,1173.5077204057561
20200708,1723.0003964306652,1659.606633304951,1399.5196153941156,1190.6207489637036,1230.5048235088068,1330.447701801311,1052.4005232069737,1161.4598670731891,1186.8073111346741
20200709,1654.1168470658858,1702.9492759595712,1651.050643428725,1393.907169069949,1186.918058313851,1227.2102992156108,1327.2361999407956,1049.9988367676356,1159.1417942186474
20200710,1748.8168676447274,1665.987552066163,1726.6392187801027,1678.0448142488933,1424.3931583468875,1222.3547029753606,1261.6539283424897,1361.2711952941884,1086.9795292704641
20200711,1842.94255523499,1732.10729399575,1656.47359014197,1719.71705557339,1673.30385073887,1421.55323259853,1220.77652079731,1260.07594043912,1359.80284767231
20200712,2008.8010552141855,1852.4491456503226,1750.2357676639529,1679.4020657298058,1711.8559197076859,1666.9395427716643,1417.7090577867614,1218.2598882170682,1257.8733772004612
20200713,1985.3770049034392,1993.6108281535555,1843.082474192986,1744.142692754766,1675.6917049107394,1709.4991874075304,1665.4193060705502,1416.694959748287,1217.5278237293426
20200714,1944.1184200553425,1965.673155448087,1984.3551785574568,1836.682010745904,1739.0200521779543,1672.3433234980469,1706.9019161779283,1663.5229051299098,1415.2327100875702
20200715,1972.1417474068162,1915.8178711193414,1952.3346590361175,1976.5690315563904,1830.57427959378,1733.9274144211606,1668.2052824199018,1703.6971609915747,1695.8623528582282
20200716,1750.040612592282,1952.2938917410995,1904.9789309227071,1945.2483970184078,1971.8714678018177,1826.731139768004,1731.1621637104083,1666.372719116179,1702.2220985145257
20200717,1849.345267561205,1725.5410755754435,1936.128217049764,1893.155403421544,1936.9771969743917,1966.9218531845493,1823.0273053402505,1728.291057561227,1664.4300270146175
20200718,1773.3465772035377,1797.0485979387904,1680.3823845479367,1892.877991754583,1852.2424182788388,1898.5551776766247,1930.855336502598,1788.1893665581913,1726.8018427572042
20200719,1761.343227850283,1757.9741574411598,1787.0606708389425,1675.1085766116137,1889.2629757574023,1849.5507922986326,1896.4099175888541,1929.242931211156,1786.7416353209294
20200720,1990.5575182156356,1747.5943176765072,1747.6156148621446,1778.3320308721961,1669.6248078099609,1885.1089234800108,1846.7329914688105,1894.2695000746457,1927.6332166252473
20200721,1876.3806393546465,2006.0429314367389,1775.920432044512,1741.2032878097407,1772.3486673206894,1665.2635762701868,1881.3858643816304,1843.9237634484668,1892.000594170237
20200722,1823.7590372422057,1785.9805225745242,1921.9997392590144,1732.7426169723742,1734.2038593029772,1766.531468698017,1661.165504354062,1877.9516758149289,1841.3894353592364
20200723,1911.3196175140379,1806.3899035541847,1775.575975501493,1913.9466677258065,1729.0690504337792,1730.662086286166,1764.1398413711497,1659.004091958632,1875.7603669750051
20200724,2004.4490321396709,1858.7087179385057,1794.1648546029605,1766.3412390214348,1906.2398761067334,1725.2806700724477,1727.2604792155005,1761.7546811216616,1656.9679162627767
20200725,1951.1743182427895,2022.9555410846037,1849.4073039215682,1822.780400733145,1796.0390930241856,1936.5935548062093,1757.7017416350639,1758.4401724987576,1792.3169993985248
20200726,1860.3411840398626,1935.08830096262,2013.3311490676626,1843.7294858114399,1818.3199761079663,1792.4517978983054,1933.4852847102195,1755.450654577071,1756.5250775602926
20200727,1624.0461169460993,1883.7040983609418,1959.7620090150522,2040.2614422697193,1872.6982337387828,1848.1055039076557,1823.169638282925,1931.0902650483074,1754.1291771195451
20200728,1734.4307884355187,1609.9174533680787,1876.3499010533717,1953.380353097775,2034.747636104889,1869.1216519325592,1844.8686453491823,1855.0141453330052,1963.252411714042
20200729,1843.1554243856287,1677.1827259479303,1564.7017029128551,1834.7262179118927,1913.1816409517226,1996.295849940396,1831.7791269358893,1842.3433498650538,1852.8271122237775
20200730,1769.1931915340278,1859.759836654599,1702.5572244136167,1593.357040673421,1865.4256468553433,1943.2264247895223,2026.5325802282784,1829.2683118060652,1840.5238206127367
20200731,1579.1534283542471,1750.0880403470635,1849.284775382665,1697.1843144535676,1589.239839017934,1861.6682044306267,1939.8651998688517,2023.6578513179948,1827.3202092375818
20200801,1438.5858712081106,1525.5137059237356,1705.0769336795158,1808.1078929368998,1659.6637665985509,1552.9477406555995,1825.354502844778,1904.5572308497613,1988.701408022825
20200802,1289.486707659109,1426.4889413760227,1516.8732884578367,1699.4447487629182,1804.3114147419162,1657.1182700240136,1551.2998009626426,1824.2250391567309,1903.4131808537559
20200803,1397.221516407186,1387.2049941262758,1522.4568972202494,1611.5327738306894,1795.902962157107,1902.4476863896648,1722.2463424188961,1617.1541215732093,1823.2379043952826
20200804,1371.5992229757917,1409.7953504645677,1413.4013462329572,1514.0160436522938,1604.1173601935022,1789.5887475077534,1896.8539838143931,1717.77400027865,1614.0985057437688
20200805,1326.6571106529022,1388.8574995436688,1434.9749153741534,1444.709739567352,1545.4014767323183,1635.1135146984486,1821.2201638022589,1894.8014288775094,1716.2010671994174
20200806,1165.406860806678,1302.4568296511075,1377.23673446128,1427.9048928265897,1440.4634479243512,1541.5128853541767,1631.936316045607,1818.5237418345007,1893.0456283256538
