,date,region,pop_mid,pop_low,pop_up,100k_mid,100k_low,100k_up
1707,2020-05-12,Scotland,1499.0,564.8717177036515,2927.101107007592,27.569808612383486,10.387299198316535,53.82580509750817
3171,2020-05-12,Northern Ireland,433.0,119.0927959304728,1518.5701115121715,23.010517774320665,6.329205332716467,80.70464693345384
2927,2020-05-12,North East,794.0,455.7815540505498,1374.3435812087441,29.877338754232266,17.148124862459543,51.70769884178669
2683,2020-05-12,West Midlands,933.0,546.3727831497957,1588.1521816990473,15.814260991241804,9.259367622659191,26.914380336269524
2439,2020-05-12,Wales,1798.0,701.9253535178361,3384.6597277342803,57.28726479292959,22.364061067319994,107.83872738573857
2195,2020-05-12,East Midlands,1235.0,831.8103086283678,1826.3775685035876,25.696779245968926,17.31441528204824,38.016672016284
1951,2020-05-12,Yorkshire and The Humber,1710.0,1207.9839358273664,2412.912578668907,31.201418499038216,22.045051264137467,44.03434508937046
1463,2020-05-12,North West,2567.0,1918.1361769040898,3428.340049670602,35.20704591652365,26.30432959239672,47.01448609707257
1219,2020-05-12,South West,715.0,468.43727163019656,1089.6514514088574,12.770812250058537,8.36534713928778,19.45898245914954
975,2020-05-12,East of England,1399.0,1025.5647144198656,1904.9604603392706,22.559819240242472,16.538128089433226,30.719153706665672
731,2020-05-12,London,1253.0,893.8551168789932,1755.3871206972967,14.071278950916028,10.034205087257213,19.705558589973496
487,2020-05-12,South East,1286.0,979.1757245667498,1686.675595306457,14.076631417130221,10.720559740155194,18.466661323477336
243,2020-05-12,England,10946.0,9719.855069262103,12324.384259781005,19.554663304540686,17.363960486293365,22.016801668317406
3415,2020-05-12,UK,14676.0,13032.029325460499,16524.08764814051,,,
730,2020-05-13,London,1188.0,842.4063393099245,1671.9799178027165,13.331583321962478,9.45665333880467,18.769249154814784
1462,2020-05-13,North West,2650.0,1992.8382863420056,3515.8649521601915,36.34111528813549,27.32875576795312,48.214757438779124
2194,2020-05-13,East Midlands,1361.0,937.8544799889959,1968.2195879539736,28.324440047997516,19.521760877712076,40.96916202961177
2926,2020-05-13,North East,662.0,360.82081284594875,1207.636819671267,24.919989345286933,13.57536367294549,45.43559691739886
242,2020-05-13,England,10685.0,9481.229076954782,12038.446478183181,19.08775231695109,16.937668913846966,21.505990313022178
