,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
0,2020-05-12,East Midlands,975.0,25.0,4804149.0,85482.0,6041.0,611.8112724966743,343.0113432623056,961.7080300529981,12.735060309259234,7.139898101876223,20.018280658093623,127.35060309259234,71.39898101876224,200.18280658093624
5720,2020-05-12,North West,1346.0,64.0,7292093.0,118898.0,8579.0,1740.9879955644733,1238.3568342894914,2325.4657196865364,23.87501085853504,16.982186517499038,31.890236721974567,238.75010858535043,169.8218651749904,318.90236721974566
8008,2020-05-12,Scotland,394.0,27.0,5438100.0,108043.0,7354.0,1777.2157432988915,1032.457830414017,2716.354172106337,32.68082130337603,18.985635247862614,49.95042702609986,326.8082130337603,189.85635247862618,499.5042702609987
14872,2020-05-12,Yorkshire and The Humber,1070.0,47.0,5479615.0,90887.0,6765.0,1249.0341481821022,832.6559656090492,1751.8906643954244,22.79419536193879,15.195519495604147,31.97105388600156,227.9419536193879,151.95519495604148,319.7105388600156
4576,2020-05-12,North East,505.0,21.0,2657909.0,40518.0,3170.0,609.4814266998137,322.66844079958287,987.2646657886785,22.930861316162964,12.139935595973489,37.1444118586708,229.30861316162964,121.39935595973486,371.444118586708
9152,2020-05-12,South East,3345.0,55.0,9133625.0,293409.0,19138.0,682.449092948498,468.6640736423323,935.0385385331205,7.4718317529841425,5.131194609394762,10.237321310357283,74.71831752984144,51.31194609394762,102.37321310357285
3432,2020-05-12,London,2138.0,44.0,8908081.0,223141.0,14099.0,808.5139766497915,529.2418245658946,1145.6974071150446,9.076185731245502,5.941142930400998,12.861326778629927,90.76185731245502,59.41142930400999,128.6132677862993
13728,2020-05-12,West Midlands,889.0,18.0,5900757.0,83502.0,5953.0,603.3697110710846,296.7955891975869,1022.2321985557843,10.2252933152659,5.0297883677905535,17.323746742253316,102.25293315265895,50.29788367790554,173.23746742253311
10296,2020-05-12,South West,1576.0,25.0,5599735.0,158987.0,10908.0,428.50136170188097,239.38324521640564,676.1942149820393,7.652172142108171,4.274903101957603,12.075468124510165,76.52172142108171,42.74903101957605,120.75468124510164
2288,2020-05-12,England,13558.0,345.0,55977178.0,1255856.0,85662.0,7527.850723135934,4795.622184436941,10922.583438811322,13.44807114630883,8.567102443851207,19.51256535084945,134.4807114630883,85.67102443851209,195.12565350849448
11440,2020-05-12,UK,14301.0,408.0,66435548.0,1468312.0,100598.0,11728.333626174881,7250.114683893604,17516.51102476047,243.75454541392128,144.94682219021055,379.25798346499795,2437.5454541392123,1449.4682219021054,3792.5798346499787
1144,2020-05-12,East of England,1714.0,46.0,6201214.0,161032.0,11009.0,793.7017378216156,524.8448678542925,1117.0919997016954,12.799134779441824,8.463582580028563,18.01408562422931,127.99134779441825,84.63582580028563,180.1408562422931
12584,2020-05-12,Wales,248.0,34.0,3138631.0,90187.0,6674.0,2220.9472564088005,1405.3295555769885,3209.0865779289306,70.76165552461569,44.775239764629504,102.24478691279512,707.6165552461567,447.75239764629504,1022.4478691279512
6864,2020-05-12,Northern Ireland,101.0,2.0,1881639.0,14226.0,908.0,202.3199033312556,16.705113465656765,668.4868359138814,10.752323018988,0.8877958771930622,35.52683782138239,107.52323018988001,8.877958771930624,355.26837821382384
2289,2020-05-13,England,14016.0,341.0,55977178.0,1284255.0,87707.0,7210.035797788454,4573.904304700427,10482.043662885213,12.880313112226656,8.171016239333156,18.72556644939338,128.80313112226656,81.71016239333157,187.25566449393384
14873,2020-05-13,Yorkshire and The Humber,1077.0,42.0,5479615.0,93480.0,6872.0,1091.5313447144163,708.2686546455037,1559.0729274326065,19.91985467435972,12.925518574671829,28.45223482731189,199.19854674359718,129.2551857467183,284.52234827311884
11441,2020-05-13,UK,14783.0,402.0,66435548.0,1500913.0,102715.0,11095.175925505137,6826.923996274973,16617.611137159747,232.57256441572923,137.9087322824331,362.34286579475736,2325.725644157292,1379.0873228243313,3623.4286579475734
