,date,region,pop_mid,pop_low,pop_up,100k_mid,100k_low,100k_up
2526,2020-05-12,Scotland,1410.0,591.3249921796073,2673.8926412851883,25.92477582141824,10.873742523668328,49.169611468806906
4692,2020-05-12,Northern Ireland,431.0,118.44634572820227,1510.3271279792118,22.885613881071613,6.2948496352487995,80.266572279761
4331,2020-05-12,North East,784.0,459.8500137248236,1329.538988998837,29.508634119677783,17.30119480105691,50.02199055719504
3970,2020-05-12,Wales,1694.0,736.3189798837612,3095.7052601573514,53.95807233531409,23.45987724851253,98.63234194007998
3609,2020-05-12,West Midlands,1042.0,642.8908110764012,1684.5720126523586,17.664526954946712,10.89505653387186,28.548405105520505
3248,2020-05-12,East Midlands,1209.0,827.2644602512632,1762.2571185702018,25.168715130826037,17.219791897613153,36.681982981173185
2887,2020-05-12,Yorkshire and The Humber,1739.0,1254.1634333725672,2405.885709380863,31.741276482710703,22.887802033036394,43.906108538298085
2165,2020-05-12,North West,2532.0,1915.2798300156792,3340.640533406733,34.72407511031137,26.265159125311197,45.81182019218259
1804,2020-05-12,South West,768.0,520.9898904037761,1130.148173089901,13.714836319398392,9.303831170649614,20.182172425836242
1443,2020-05-12,East of England,1355.0,1004.7214897018458,1825.329463972096,21.855776006842643,16.202012859124775,29.435034236394614
1082,2020-05-12,London,1260.0,911.2211830336878,1739.2373667290622,14.141050327080709,10.229152418278279,19.52426529046
721,2020-05-12,South East,1203.0,918.2191694474881,1573.7896859709508,13.166874691529923,10.053173514869377,17.230723682776016
360,2020-05-12,England,10887.0,9717.131559566973,12194.298681801325,19.44826477970199,17.359095093302084,21.78441128597323
5053,2020-05-12,UK,14422.0,12872.276233312656,16153.777495080252,,,
4691,2020-05-13,Northern Ireland,973.0,418.6693448053259,2187.259169986951,51.6992764936308,22.250248044673548,116.24223190457325
3608,2020-05-13,West Midlands,1075.0,681.4745266403862,1691.3393359443887,18.22097875877405,11.54893391882408,28.663090785544785
2886,2020-05-13,Yorkshire and The Humber,1390.0,981.482501431458,1963.4397237840808,25.363781884805515,17.911523007208682,35.83170941360079
3969,2020-05-13,Wales,1658.0,807.2484298066532,3103.2602088723634,52.82075190988836,25.719762208639793,98.87305034814106
2525,2020-05-13,Scotland,1317.0,614.0401092346384,2575.0403634291165,24.209236608494876,11.291445711455074,47.351839124494155
359,2020-05-13,England,10157.0,9076.169025201196,11365.259843206217,18.145569677184007,16.21405249332361,20.303381215834456
5052,2020-05-13,UK,14105.0,12604.052781378641,15782.907363239508,,,
720,2020-05-13,South East,1198.0,923.8929405008189,1553.0053519806588,13.11955914069819,10.115293111999003,17.003165249073167
1803,2020-05-13,South West,616.0,407.2295040967181,929.9281974477839,10.998166248334329,7.272299565902995,16.606646518947485
1442,2020-05-13,East of England,1295.0,966.5056090233916,1732.593758885285,20.882939442773658,15.58574835545736,27.93958987522903
3247,2020-05-13,East Midlands,1197.0,830.0722077126748,1720.9811096150936,24.911513467363466,17.278236118668985,35.822808776644806
2164,2020-05-13,North West,2379.0,1809.4228945000852,3122.1987988926016,32.62567132091786,24.813491743729617,42.816222981421134
1081,2020-05-13,London,1248.0,913.8496970723087,1701.0432672202996,14.004280911132048,10.258659492120792,19.095507407491013
4330,2020-05-13,North East,603.0,337.68298164176105,1071.351893724438,22.69362150022605,12.704836081361742,40.30807276413293
5051,2020-05-14,UK,13918.0,12441.10501672134,15567.64811051251,,,
