,date,region,pop_mid,pop_low,pop_up,100k_mid,100k_low,100k_up
1987,2020-05-12,Scotland,1425.0,597.5723694282567,2812.5992011057087,26.199350241085323,10.988624141304072,51.72025525653645
3691,2020-05-12,Northern Ireland,429.0,117.96593658437631,1504.7876376700046,22.793437417959144,6.269318215894564,79.97217519779323
3407,2020-05-12,North East,787.0,461.55650947670273,1334.4460067740886,29.617986855324002,17.365399247178992,50.2066100372168
3123,2020-05-12,Wales,1710.0,743.6450949350782,3254.5118936145413,54.49818536394169,23.693294781548968,103.69208402053448
2839,2020-05-12,West Midlands,1045.0,644.3518737487641,1688.3903399248836,17.70464288121515,10.919817131069184,28.613114214411535
2555,2020-05-12,East Midlands,1209.0,826.9230610284507,1761.509078400902,25.158233561522938,17.212685556348287,36.66641226991298
2271,2020-05-12,Yorkshire and The Humber,1687.0,1210.709217141514,2345.024131968633,30.789608000027766,22.094786169128927,42.79541777969133
1703,2020-05-12,North West,2518.0,1904.6421070536298,3322.2098531784095,34.53168139935931,26.119278882669622,45.55907135548613
1419,2020-05-12,South West,771.0,522.9197453200346,1134.3152339110748,13.76556524044771,9.33829449643661,20.25658774765368
1135,2020-05-12,East of England,1388.0,1032.6484516497796,1862.8847470154403,22.38419894915911,16.652359548465505,30.04064602536601
851,2020-05-12,London,1257.0,909.5643309570104,1736.0933962863046,14.115389543238651,10.210552990672294,19.488971825540254
567,2020-05-12,South East,1201.0,917.125481837819,1571.9130274160739,13.15118512831515,10.041199215402637,17.210176982480384
283,2020-05-12,England,10879.0,9710.635074528687,12186.150754263723,19.43526576740306,17.347489497467496,21.769855483360956
3975,2020-05-12,UK,14443.0,12891.874472048701,16178.378099442132,,,
2554,2020-05-13,East Midlands,1198.0,830.9668414786421,1722.8092896913479,24.938237004053036,17.29685822564292,35.860862968474706
1986,2020-05-13,Scotland,1330.0,619.9531603276198,2706.460483058887,24.449318853327874,11.400179480473325,49.76849419942419
3974,2020-05-13,UK,14121.0,12617.615065659416,15799.89146277425,,,
2838,2020-05-13,West Midlands,1076.0,681.7904654413595,1692.1324212462523,18.229453927577495,11.554288126783726,28.676531184833614
566,2020-05-13,South East,1196.0,922.3118877282984,1550.3477026905177,13.097107713217422,10.09798286801022,16.974067828387064
1134,2020-05-13,East of England,1325.0,992.1440521501959,1766.8829105701448,21.366435525007162,15.999190677022206,28.492532439134415
3122,2020-05-13,Wales,1677.0,816.2820428775782,3266.9540754191994,53.42951379314877,26.00758237835471,104.08850468306723
3690,2020-05-13,Northern Ireland,961.0,413.6943823578426,2163.0289436312223,51.0916254968642,21.985852884524746,114.95451272168691
282,2020-05-13,England,10153.0,9072.066125744639,11360.123080627927,18.137367593466298,16.20672290008017,20.294204685752337
2270,2020-05-13,Yorkshire and The Humber,1343.0,942.9475761777431,1908.2765169537847,24.509192567586105,17.208281533971697,34.82501082564714
1702,2020-05-13,North West,2371.0,1803.4936162090505,3112.022165590342,32.51896943129458,24.732180681308513,42.67666588440852
3406,2020-05-13,North East,605.0,338.81052078631154,1074.912108126638,22.76930985245363,12.747258118555283,40.442020706000015
1418,2020-05-13,South West,618.0,408.6998436565863,933.2717453431206,11.037825555827277,7.298556872005306,16.666355556881186
850,2020-05-13,London,1246.0,912.8182774374252,1699.1389095244322,13.988519615106059,10.247081020451263,19.074129540632065
1985,2020-05-14,Scotland,1371.0,622.8137908111152,2448.6136486192186,25.20330592801579,11.452782972198289,45.02700664973462
1701,2020-05-14,North West,2189.0,1654.9864482352318,2888.9841659481253,30.013840563040233,22.69563002330376,39.618037865783194
1133,2020-05-14,East of England,1187.0,876.4435274709986,1604.810274895016,19.138723086623,14.133418512423512,25.878969422681042
565,2020-05-14,South East,1297.0,1016.9628193695164,1652.883024547228,14.200049477950085,11.134273843840933,18.09668148787834
3405,2020-05-14,North East,554.0,310.3307834615217,985.2459958596753,20.858862201721884,11.675748998988368,37.06846230851678
2269,2020-05-14,Yorkshire and The Humber,1429.0,1020.1809745333396,1997.4470981805919,26.081712971226906,18.6177491399184,36.45232554076503
1417,2020-05-14,South West,624.0,416.13245900557524,933.3020648145406,11.137749264258508,7.4312884271412,16.666897001635625
3121,2020-05-14,Wales,1701.0,800.8822699967423,2929.802533471473,54.193143711871386,25.51692983331721,93.34651105757487
2837,2020-05-14,West Midlands,964.0,603.0208606267369,1536.6545172682918,16.336984721832525,10.219381354404813,26.041650541926938
3973,2020-05-14,UK,13903.0,12424.811467155696,15553.149523818489,,,
2553,2020-05-14,East Midlands,1117.0,769.2386668234747,1616.7414107362752,23.243089840773262,16.011965216388475,33.65302389114649
3689,2020-05-14,Northern Ireland,1042.0,508.82647594685574,2079.709166643973,55.375055396500734,27.04166293039503,110.52647009569704
849,2020-05-14,London,1113.0,805.2448633381645,1537.683282536131,12.498442780704,9.03948744222425,17.26166704743851
281,2020-05-14,England,9789.0,8748.21833071906,10950.858137715542,17.486889781198744,15.628187492265258,19.563076469691886
280,2020-05-15,England,9386.0,8391.141200307155,10496.566420376186,16.767233457856044,14.990289793292465,18.751510518047528
1416,2020-05-15,South West,607.0,408.2708961106221,900.4921731262127,10.835921001047373,7.2908967319100295,16.080978352122248
2552,2020-05-15,East Midlands,1162.0,816.1674937791353,1651.3239446321638,24.194742077506685,16.988804755621345,34.372871129354316
3404,2020-05-15,North East,541.0,302.84909608043733,961.663852520066,20.356847677735296,11.394261281347005,36.18121811243598
1700,2020-05-15,North West,2111.0,1595.9274328171157,2786.4543064750824,28.944919245588935,21.885725165835318,38.211996287966734
1984,2020-05-15,Scotland,1322.0,630.3234909563655,2229.6006073940234,24.308412439001955,11.590877162177332,40.99962500494701
3120,2020-05-15,Wales,1667.0,831.0379582537427,2685.8212005666305,53.10155688941838,26.477720963494676,85.57301576918825
3688,2020-05-15,Northern Ireland,956.0,466.5639875264134,1912.9436878176525,50.80685421244471,24.79561634970435,101.6636925477019
564,2020-05-15,South East,1207.0,942.7998278216675,1544.517602788963,13.216546705869574,10.32229621669017,16.910236656190317
848,2020-05-15,London,1034.0,744.428620104075,1434.840223516396,11.608172707268611,8.35677875071045,16.107175311005772
1132,2020-05-15,East of England,1077.0,789.2458774918616,1467.8591728422773,17.36908645668696,12.727280134048941,23.670513109889082
3972,2020-05-15,UK,13331.0,11917.9952419875,14908.345083106215,,,
2268,2020-05-15,Yorkshire and The Humber,1434.0,1033.872374074226,1985.2029843793025,26.174601269027097,18.867609751309644,36.228877108689254
2836,2020-05-15,West Midlands,961.0,608.7836183173637,1511.6798779596352,16.27972205625444,10.317042683122922,25.61840587503663
3119,2020-05-16,Wales,1656.0,852.2346866600562,2883.176594074107,52.77512994120014,27.15307045205557,91.8609608480292
1699,2020-05-16,North West,2189.0,1669.4233856213436,2866.2981910563944,30.02444007376461,22.89361073180695,39.3069341142028
847,2020-05-16,London,1020.0,730.5673400371516,1421.659368487353,11.446688279963048,8.201175315280041,15.959210165324643
3971,2020-05-16,UK,12830.0,11450.457536187016,14373.31215305688,,,
2267,2020-05-16,Yorkshire and The Humber,1458.0,1055.6689393728475,2008.6272681388032,26.604217249465894,19.265385239160917,36.65635757509977
3403,2020-05-16,North East,579.0,332.09577471714596,1004.5999400487065,21.786856647998324,12.494625463744093,37.79662659815315
2551,2020-05-16,East Midlands,1182.0,834.9022525907396,1669.969842397294,24.60820800067592,17.378775150203285,34.7609918509458
3687,2020-05-16,Northern Ireland,876.0,427.3222740258877,1757.1363884419445,46.56002326753296,22.710109326278193,93.38328916662253
2835,2020-05-16,West Midlands,942.0,596.7030196056123,1481.8419414179293,15.957163384390748,10.112313040608388,25.112743016157577
1131,2020-05-16,East of England,1033.0,753.6972734633894,1413.3515343072256,16.655075052366122,12.154027799450065,22.791529760257035
563,2020-05-16,South East,993.0,756.0984870031117,1303.3285770188186,10.872472937005117,8.27818622948842,14.269565227593848
279,2020-05-16,England,9021.0,8051.019285576233,10106.130080493072,16.115536158116115,14.382681609237668,18.054018515354727
1415,2020-05-16,South West,540.0,357.1494523032247,815.8825982697407,9.646772539337569,6.377970605809465,14.57002158619543
1983,2020-05-16,Scotland,1277.0,625.735347156367,2337.141662216886,23.488369637274815,11.506506815916717,42.97717331819727
278,2020-05-17,England,8353.0,7433.640312554659,9384.73837521264,14.922382424182418,13.279769681413129,16.765293840308708
2550,2020-05-17,East Midlands,1100.0,772.5756627615824,1563.58253758763,22.90470299727067,16.081425924999046,32.54650381550676
1982,2020-05-17,Scotland,1167.0,475.6049535156543,1947.9437178203448,21.459543448956854,8.745792712816137,35.820299696959324
2266,2020-05-17,Yorkshire and The Humber,1321.0,942.8577822485748,1846.8244074158047,24.108288626234113,17.206642843494933,33.703543176223235
3402,2020-05-17,North East,417.0,220.03328233266515,788.004095818207,15.70504702222738,8.27843550447608,29.647519753994853
1698,2020-05-17,North West,2072.0,1571.195567032111,2727.9907543498375,28.416017056245888,21.546565122415622,37.410257306781986
3970,2020-05-17,UK,11912.0,10600.92462626016,13383.335750692324,,,
1130,2020-05-17,East of England,844.0,599.0465759509354,1188.8108645194775,13.6178626752605,9.660150027896723,19.170615052463557
2834,2020-05-17,West Midlands,1010.0,655.2877805768725,1553.515952031448,17.121347030861823,11.105147705232946,26.327400908585933
846,2020-05-17,London,943.0,668.7755607389703,1328.402213308502,10.586546340051507,7.5075154877798065,14.912327506996197
1414,2020-05-17,South West,539.0,359.88155024236244,807.4914487869175,9.633482320909934,6.426760377810065,14.420172540074086
3118,2020-05-17,Wales,1578.0,682.3468315504186,2479.0979468602322,50.26301364245691,21.740269294173753,78.98660106461168
3686,2020-05-17,Northern Ireland,814.0,397.0276685439374,1636.6430403602894,43.28028619890193,21.10009776285129,86.97965126999863
562,2020-05-17,South East,964.0,734.1604150901271,1265.5559527391572,10.557142363995828,8.037996032135402,13.856009555233078
561,2020-05-18,South East,857.0,644.8122949667876,1137.2127384952873,9.378710053870405,7.059763182381449,12.450836754249133
2549,2020-05-18,East Midlands,879.0,596.8181311472904,1292.7654741908768,18.304420427752177,12.422972958317702,26.90935427254394
3117,2020-05-18,Wales,1649.0,715.9948206089606,2909.865351687377,52.54162479550749,22.81232870665461,92.71129201512943
1697,2020-05-18,North West,1984.0,1504.0960491008818,2612.3640834876574,27.20581207476058,20.626396963133654,35.824612816754495
1129,2020-05-18,East of England,875.0,630.3799145471969,1214.1336472481162,14.117003228803021,10.165427520275818,19.578967073997386
2265,2020-05-18,Yorkshire and The Humber,1341.0,966.700362702084,1857.1529618969917,24.478206808814107,17.64175699756432,33.892033690268235
2833,2020-05-18,West Midlands,929.0,595.6270652738538,1444.2855670119786,15.738430281993194,10.094078866048097,24.47627595937231
845,2020-05-18,London,1025.0,740.9636497397657,1415.292232804595,11.501718887927947,8.317881816967827,15.887734213514618
3401,2020-05-18,North East,433.0,235.7544061903983,792.2726891154603,16.29756269150624,8.869920158681065,29.80811943205957
1413,2020-05-18,South West,513.0,342.32255558081977,768.2007499642315,9.163850586791915,6.113192063210487,13.718519715026362
277,2020-05-18,England,8006.0,7124.667405324695,8995.190146531177,14.30251207880579,12.727807402732404,16.069388397055633
3969,2020-05-18,UK,11502.0,10235.813701729283,12923.142276467848,,,
3685,2020-05-18,Northern Ireland,683.0,314.62819794404817,1452.8226114354222,36.288625111346384,16.720964964270415,77.21048572204457
1981,2020-05-18,Scotland,1164.0,472.24147390450764,2198.4133568723814,21.397455855491703,8.683942441376725,40.42612965690924
844,2020-05-19,London,885.0,627.3338577669646,1246.337057608672,9.931205366207246,7.042300780234986,13.99108357466296
3400,2020-05-19,North East,473.0,264.6775295882249,841.5098893627753,17.796385962452376,9.958111040980896,31.660598213211035
2264,2020-05-19,Yorkshire and The Humber,1251.0,897.5080687373044,1741.4688710988091,22.838346720040267,16.379035182897052,31.780861814175065
1128,2020-05-19,East of England,732.0,513.4812779609167,1042.4566813773326,11.805793519941668,8.280334753177632,16.81052583215694
3968,2020-05-19,UK,11133.0,9891.610022567065,12526.669592164515,,,
560,2020-05-19,South East,859.0,648.4301864305171,1136.837948026941,9.403398411427409,7.099373867774483,12.446733340014955
3684,2020-05-19,Northern Ireland,695.0,320.1805825600013,1478.4612222470234,36.929026719082,17.016047316196214,78.57305371790356
1696,2020-05-19,North West,1919.0,1450.3067553232645,2534.073056629773,26.31090291362822,19.888758348573784,34.7509700799177
3116,2020-05-19,Wales,1685.0,971.2400502071783,2591.128793280157,53.675738360845195,30.944703286470386,82.5560186361556
276,2020-05-19,England,7613.0,6764.109144148304,8566.023138879767,13.599374643748458,12.083690864423899,15.302706290195207
