,date,region,pop_mid,pop_low,pop_up,100k_mid,100k_low,100k_up
1457,2020-05-12,North East and Yorkshire,2624.0,1965.9992983417135,3495.595673520501,30.653777133519135,22.96677711215821,40.83550120068041
2672,2020-05-12,Northern Ireland,433.0,119.16029153126499,1519.4307580460004,23.0235589386462,6.332792397014782,80.7503861285826
2429,2020-05-12,Wales,1820.0,1093.813806698912,3530.2119351562364,57.978429005441676,34.8500287768429,112.47616987011969
2186,2020-05-12,North West,2430.0,1796.5870194285628,3278.834811749699,34.7538009496498,25.694589429624372,46.89353389754811
1943,2020-05-12,Scotland,1494.0,866.81408552972,3006.669706417859,27.477975426768026,15.939649611623915,55.2889742082319
1700,2020-05-12,South West,719.0,470.7141187013317,1094.93981916438,12.829825962876038,8.404021502747012,19.54880344328482
1214,2020-05-12,Midlands,2263.0,1644.8123630488658,3107.4413496851757,21.47256672138694,15.608867598347471,29.48885945078775
971,2020-05-12,East of England,1497.0,1109.9532143348224,2015.885583194809,23.082090377637122,17.112977770304283,31.080413775245155
728,2020-05-12,London,1256.0,895.7467911085298,1759.0861483543315,14.135100556496473,10.079746934806673,19.794816334192284
485,2020-05-12,South East,1201.0,907.2309685628238,1589.1347857094459,13.589218504874042,10.262951653586795,17.976914415306002
242,2020-05-12,England,10927.0,9700.38984969022,12305.215146537472,19.545602921869357,17.352024749093044,22.011527482315728
2915,2020-05-12,UK,14674.0,13026.770445168326,16524.821731517422,,,
727,2020-05-13,London,1190.0,843.9536073596532,1675.0414712108452,13.388329315817654,9.496923540607806,18.849070186695084
1942,2020-05-13,Scotland,1525.0,882.9969846682749,2992.588533368296,28.0481668725953,16.23723331068342,55.03003867836737
2185,2020-05-13,North West,2525.0,1880.6453398028955,3383.1365588369576,36.11855015328975,26.896782257917927,48.385245982305385
1213,2020-05-13,Midlands,2528.0,1874.0302083879892,3403.8642221487034,23.987964668250964,17.78408896672587,32.301840112502035
241,2020-05-13,England,10665.0,9461.320152353028,12018.646284003726,19.077125022533927,16.924377678281182,21.498914064498937
1699,2020-05-13,South West,662.0,429.1197326567142,1019.256997991615,11.818587635704885,7.661404910585004,18.197579778527825
1456,2020-05-13,North East and Yorkshire,2300.0,1692.7287683579684,3118.1969258197173,26.86444032776814,19.774434490900997,36.426734153732575
970,2020-05-13,East of England,1412.0,1039.3108283055938,1916.0319918016537,21.775096579517236,16.023831339493757,29.540896372414654
484,2020-05-13,South East,1181.0,889.1239594022682,1566.7399760661015,13.357783944233518,10.0581180819328,17.723575567068696
2914,2020-05-13,UK,15098.0,13394.000155670512,17014.301134166737,,,
2671,2020-05-13,Northern Ireland,970.0,417.64113010006105,2182.7835470037708,51.575709360093605,22.195603412772645,116.00437421863444
2428,2020-05-13,Wales,1938.0,1167.593303521885,3651.1855024293623,61.75435737646514,37.20071915181762,116.33051169217924
2913,2020-05-14,UK,14408.0,12767.55830193698,16257.29340391345,,,
1212,2020-05-14,Midlands,2362.0,1744.989920027133,3193.12348617432,22.418979774579828,16.559528146825624,30.301961999168128
1941,2020-05-14,Scotland,1496.0,906.3874224227197,2760.4201809672504,27.51779394536409,16.667354819196408,50.76074696984701
2184,2020-05-14,North West,2243.0,1651.68709341251,3038.045420046325,32.07496749191089,23.62224666687323,43.44979057094037
1455,2020-05-14,North East and Yorkshire,2376.0,1774.3235097944068,3176.537778123536,27.759322814467716,20.727623152603737,37.108271198290694
2670,2020-05-14,Northern Ireland,1060.0,517.5809044072085,2114.28311476046,56.32146666461022,27.50691840502926,112.36390799512871
2427,2020-05-14,Wales,1867.0,1169.5209483331937,3327.6001254180696,59.49246352566351,37.26213589087706,106.02074998360973
240,2020-05-14,England,9985.0,8848.144756027259,11266.593186984717,17.86200632308631,15.827531590912905,20.15364401305635
726,2020-05-14,London,1087.0,762.3022823679811,1547.5265585958703,12.230140515104372,8.578109539846297,17.41415792987048
1698,2020-05-14,South West,625.0,405.41040468752334,963.1221736723081,11.166216986214188,7.238104027623413,17.195361549055697
483,2020-05-14,South East,1075.0,804.5738481086119,1435.7497384714602,12.163836108884887,9.101654144324074,16.241762751909533
969,2020-05-14,East of England,1315.0,963.4721152949459,1790.596893139613,20.26711008065392,14.854569254282833,27.60696976425052
239,2020-05-15,England,9290.0,8231.458311776249,10482.433831429165,16.617840110112176,14.724404952820578,18.75094239428921
1211,2020-05-15,Midlands,2271.0,1689.2957288817222,3048.400643238989,21.55132017600358,16.0310038755377,28.928577566644314
1454,2020-05-15,North East and Yorkshire,2094.0,1552.6573549253387,2819.6073536139957,24.463847368977277,18.13812214083778,32.93861482497809
1940,2020-05-15,Scotland,1404.0,918.6791898106379,2190.743640589685,25.81510864372864,16.893385370085838,40.2850929661037
2183,2020-05-15,North West,2107.0,1551.7765440372123,2855.489748257081,30.139271894529426,22.19333700754428,40.83889948470407
482,2020-05-15,South East,1071.0,808.6326375762013,1416.848720943931,12.11364619118315,9.147568758707163,16.027947046967366
2426,2020-05-15,Wales,1785.0,1219.3797032286152,2666.4545458377165,56.87632615400981,38.850686915047206,84.95597430337357
2912,2020-05-15,UK,13451.0,11918.336464122962,15177.526099736675,,,
968,2020-05-15,East of England,1064.0,762.5399413129115,1481.8368650346392,16.401529828317567,11.756647844366348,22.846585786728145
725,2020-05-15,London,1065.0,750.9837570557163,1507.3252213336104,11.979984807769455,8.450743333285129,16.961776397425453
1697,2020-05-15,South West,602.0,394.4943174783048,918.2429524176272,10.754484680752267,7.0432107198015945,16.394098265321073
2669,2020-05-15,Northern Ireland,972.0,474.2217591789588,1943.391976686503,51.6358088167503,25.202589826154686,103.281871638848
1696,2020-05-16,South West,558.0,361.4008480983693,858.9322662865079,9.955306145364208,6.452367536604143,15.335178930239751
2425,2020-05-16,Wales,1730.0,1144.8654595467224,2951.696541102287,55.10688225158583,36.476586752208924,94.04407657677145
481,2020-05-16,South East,898.0,662.8942697134527,1216.367703617123,10.16224049947032,7.498919324024133,13.760027344505787
967,2020-05-16,East of England,1009.0,719.8367783255625,1413.132840943684,15.561541926155765,11.098261284026389,21.787324529753846
2182,2020-05-16,North West,2092.0,1546.3748309504026,2824.6364311059883,29.922788369884653,22.11608230266149,40.397638745220675
1453,2020-05-16,North East and Yorkshire,2001.0,1477.9226724636844,2703.9553602483034,23.372749096574417,17.265072594943994,31.58756980861055
2911,2020-05-16,UK,12651.0,11184.325037868057,14305.636808754381,,,
238,2020-05-16,England,8779.0,7761.219627495349,9927.21409722984,15.703007744586245,13.883243575385452,17.75776720047788
2668,2020-05-16,Northern Ireland,815.0,375.9816692591157,1725.589367506546,43.317927465442125,19.98160482744648,91.70671778734103
1939,2020-05-16,Scotland,1327.0,837.2979889814543,2376.3119200849137,24.394116727446225,15.396884738814187,43.69746639607425
724,2020-05-16,London,1129.0,804.6526521420941,1580.8268228951883,12.699329425106741,9.054673915131705,17.788882394787528
1210,2020-05-16,Midlands,2095.0,1547.1228443225,2832.6787494104105,19.880896025103134,14.6818179252044,26.88142948186608
1209,2020-05-17,Midlands,1970.0,1449.37009790024,2674.1499649464863,18.69609102639539,13.754168236669953,25.37703003618241
1452,2020-05-17,North East and Yorkshire,1788.0,1305.2416693554974,2445.586660227559,20.888553337736163,15.247815461009704,28.569310162668845
480,2020-05-17,South East,821.0,598.5789207070981,1124.4855461992072,9.28481069125237,6.771358933882898,12.720620432613071
723,2020-05-17,London,942.0,652.4863647853989,1358.2004440056655,10.599841919898301,7.342362262118233,15.283690545379173
2910,2020-05-17,UK,11515.0,10132.669226846105,13084.204866528487,,,
1695,2020-05-17,South West,560.0,367.0223929577928,854.4857600319433,10.00622092243488,6.552733304275599,15.25579203129022
2667,2020-05-17,Northern Ireland,790.0,364.14151408017096,1673.4554526671645,41.96369101236191,19.35235792201219,88.9360527001813
2424,2020-05-17,Wales,1613.0,1035.1603128804045,2718.293577600248,51.38113198788019,32.98126835809639,86.60761897783614
2181,2020-05-17,North West,1815.0,1320.0346228938095,2490.710933210502,25.959801361820116,18.87898960715726,35.62187309862457
237,2020-05-17,England,7925.0,6973.634704538027,9004.978164762333,14.176677953938498,12.474414313167252,16.10807466516291
1938,2020-05-17,Scotland,1187.0,718.8333954640848,2123.52609063601,21.832546624793792,13.218465924938577,39.04904453092091
966,2020-05-17,East of England,894.0,627.3941871381772,1272.9801102471754,13.788766629296996,9.673004806917039,19.62648519537331
236,2020-05-18,England,7881.0,6945.578587730797,8939.80054115153,14.096797335356246,12.424227625750968,15.991485151183957
2666,2020-05-18,Northern Ireland,759.0,350.00301011338325,1611.3951157082358,40.347411974348404,18.600964909495566,85.6378463514115
722,2020-05-18,London,899.0,618.3224889053789,1304.5299321258842,10.112603479509458,6.957919664499122,14.679741769921954
1208,2020-05-18,Midlands,1854.0,1353.3518043811166,2537.4004844614474,17.598110695702104,12.842978082565587,24.07931086590745
2423,2020-05-18,Wales,1756.0,1179.628896109285,3014.6367226654497,55.956451178563036,37.584185465232615,96.049415259884
965,2020-05-18,East of England,915.0,648.9082535935746,1287.5326058972578,14.102737073401793,10.004703239107895,19.850851890605192
479,2020-05-18,South East,882.0,653.2757944429317,1190.0820542102495,9.978574093551495,7.390111368714854,13.462673794644912
2909,2020-05-18,UK,11628.0,10247.83502323737,13190.204376666665,,,
2180,2020-05-18,North West,1611.0,1160.6783372431084,2231.0713778840923,23.037067519421672,16.59989358311548,31.908536810619847
1937,2020-05-18,Scotland,1232.0,775.0578809881798,2259.0711578190744,22.651898049316376,14.252365366362882,41.54155234032244
1451,2020-05-18,North East and Yorkshire,1894.0,1404.037740324523,2551.2136377420525,22.12679261755602,16.401949820781073,29.80324307996568
1694,2020-05-18,South West,564.0,372.59068332959924,850.9530915971677,10.060736234445356,6.6521482785859245,15.192720582382252
1693,2020-05-19,South West,587.0,391.8595821845301,878.9197769694748,10.485819924489913,6.996170762461844,15.69203134424737
1450,2020-05-19,North East and Yorkshire,1996.0,1494.8448055795805,2661.546306201993,23.319146974668232,17.462756724263304,31.09214781500118
235,2020-05-19,England,7720.0,6800.485304985564,8762.627407156233,13.809852328172425,12.164685249399687,15.674558444773396
2422,2020-05-19,Wales,1865.0,1217.2926191850718,2747.212316721266,59.41687884970932,38.784190278661995,87.52899964096657
2908,2020-05-19,UK,11491.0,10122.328580257657,13042.921183372056,,,
721,2020-05-19,London,848.0,579.157472511715,1239.4294534265528,9.539644418753065,6.517199744691053,13.947172748031335
