,date,region,pop_mid,pop_low,pop_up,mil_mid,mil_low,mil_up
329,2020-05-12,North East and Yorkshire,2441.7900362476257,1810.7926708544412,3286.399318424512,285.24958052879515,211.53655396989424,383.91672220569365
604,2020-05-12,Northern Ireland,433.22026417755296,119.16029153126499,1519.4307580460004,230.23558938646198,63.32792397014783,807.503861285826
549,2020-05-12,Wales,1849.0913360419843,1080.3922180082236,3451.154823193748,589.1394483907105,344.2240320726532,1099.5732926851701
494,2020-05-12,Scotland,1469.9680627250787,823.5748348970072,2864.171647069177,270.309126850385,151.44532739320852,526.686093869031
439,2020-05-12,North West,2490.8527925022527,1848.3437524783972,3348.595927295457,356.23901954571375,264.3480851812539,478.9124967903637
384,2020-05-12,South West,723.3122292053052,473.8013714202139,1102.086414448808,129.13850012003184,84.59140602011512,196.76397110131836
274,2020-05-12,Midlands,2276.8331778602005,1655.0984305311595,3126.766428871503,216.06590766906075,157.0647986649773,296.7224973233198
219,2020-05-12,East of England,1420.7891630554361,1045.5432800696954,1927.4448583808282,219.05367766539484,161.19921703588503,297.16857061155855
164,2020-05-12,London,1243.6664740871022,886.8466199301733,1741.6807665184072,139.94851507743144,99.79594219726029,195.98955354335823
109,2020-05-12,South East,1251.0200530744287,950.1990396942613,1645.5554532723963,141.52028278652577,107.49023284682448,186.15167080312506
54,2020-05-12,England,10835.299975526385,9614.889873890803,12207.868615992611,193.82148166466246,171.99082679845617,218.37394335769383
659,2020-05-12,UK,14587.579638471,12944.539797450016,16435.47073491443,,,
548,2020-05-13,Wales,1942.9710543956646,1062.0058070619784,3558.0490811568716,619.050488698947,338.36593312879995,1133.630898680626
108,2020-05-13,South East,1227.811329075645,929.9551925153067,1619.5767997810133,138.8948211279772,105.20016965366285,183.21286388354088
493,2020-05-13,Scotland,1508.120171045219,788.8621394626304,2888.6970272604613,277.3248323946266,145.0620877627536,531.1960109708283
273,2020-05-13,Midlands,2484.9517111282494,1835.5838578709909,3358.370796009482,235.81584817000493,174.19242490409803,318.7011860970032
163,2020-05-13,London,1143.4395294631386,806.6416769123123,1618.7152075919105,128.67007961010268,90.77056207236876,182.1523650881001
218,2020-05-13,East of England,1342.8991793665539,980.3185402350443,1836.4910464199857,207.04479709112655,151.143031707991,283.145542054061
328,2020-05-13,North East and Yorkshire,2120.8264894783165,1542.0347081825435,2911.3024198475573,247.75466257029825,180.14028525805082,340.09795343835407
658,2020-05-13,UK,14921.104798416765,13225.036049524682,16830.94538124975,,,
53,2020-05-13,England,10499.544911129711,9306.070953139311,11843.44385450291,187.81550636127767,166.46668432696652,211.85512547662324
603,2020-05-13,Northern Ireland,970.4686618461717,417.64113010006105,2182.7835470037708,515.7570936009361,221.95603412772644,1160.0437421863444
383,2020-05-13,South West,667.4742307433764,432.6953525565353,1027.7108414949869,119.16931243050446,77.25243205061174,183.48512754108006
438,2020-05-13,North West,2582.546922315732,1929.767013752864,3447.8223708850383,369.3530128740938,275.99315021759094,493.1037533285915
602,2020-05-14,Northern Ireland,1059.766682133305,517.5809044072085,2114.28311476046,563.2146666461022,275.0691840502926,1123.6390799512872
547,2020-05-14,Wales,1873.8489487962363,1013.5785287226311,3216.2589458613897,597.0274775200513,322.9365059870469,1024.7330590507102
107,2020-05-14,South East,1119.6727111858183,843.0525620576424,1485.7340378287909,126.66175760009637,95.36940410595031,168.0720470166499
272,2020-05-14,Midlands,2320.7012496618568,1707.6976748891261,3148.5427386952483,220.22888054018884,162.0563384867888,298.7890159393969
217,2020-05-14,East of England,1249.2322529625646,908.0172075126446,1715.8774018609276,192.60346741467887,139.99579519691616,264.5496355646916
437,2020-05-14,North West,2347.633589847304,1741.9183563381632,3156.548029818385,335.75596711985594,249.1272423880213,451.44601827787017
657,2020-05-14,UK,14226.244302815048,12593.819957133295,16066.80112469222,,,
327,2020-05-14,North East and Yorkshire,2208.948593946194,1631.9894756935919,2984.408427047588,258.04907485048153,190.64878898612878,348.63818727434347
492,2020-05-14,Scotland,1469.634148885926,764.0209142634654,2627.327410235781,270.24772418416836,140.49409063155613,483.13333889332324
382,2020-05-14,South West,600.303333477633,384.81061061476004,934.782245074993,107.17677508028537,68.70320046940418,166.89386988583107
52,2020-05-14,England,9822.994522999581,8695.831579251313,11093.869618051294,175.71339576495205,155.55074292393752,198.44676673668425
162,2020-05-14,London,1038.5680140824113,724.0383439843674,1487.8049907938118,116.86899535057405,81.47529358633983,167.42117241620102
216,2020-05-15,East of England,1000.8329247247108,710.0733623699292,1408.4982530105135,154.30588759425035,109.477314075837,217.15869625843868
491,2020-05-15,Scotland,1373.2269890292962,808.4759740700275,2443.1783805803143,252.51962800045902,148.66883177397023,449.27058726031413
51,2020-05-15,England,9108.201554287429,8060.743739997633,10289.680127062202,162.92720317294297,144.19031300788646,184.06145215981815
546,2020-05-15,Wales,1776.1259078706744,1098.5858893906682,3005.005227438942,565.891915255624,350.0207222163638,957.4254595200715
656,2020-05-15,UK,13223.043279064777,11702.37205447722,14938.282254396252,,,
381,2020-05-15,South West,578.6868219088981,375.08262647540585,891.3185718355811,103.3174128725141,66.966388577909,159.13396573211367
106,2020-05-15,South East,1094.8216655089946,829.1428339976763,1444.4105866428283,123.85051008805053,93.79588124858893,163.39737654819444
271,2020-05-15,Midlands,2239.4724267648567,1660.0015198588817,3016.5926504654813,212.52046363956015,157.53008986693195,286.2672748396949
161,2020-05-15,London,1015.6288706357645,712.3046385656336,1446.3245987617395,114.28767702335702,80.15491172840385,162.75342636798544
601,2020-05-15,Northern Ireland,965.4888278773782,471.2165279163299,1931.5507815330714,513.1105530217955,250.42876338996476,1026.5256946380637
326,2020-05-15,North East and Yorkshire,1939.320589621728,1421.5765975059578,2641.065157333292,226.55116799090487,166.06838512261155,308.52887311976
436,2020-05-15,North West,2206.317338590651,1636.8110620324328,2967.3674958215206,315.54507270446464,234.09491306559616,424.38962692827306
105,2020-05-16,South East,922.2348637308241,683.0187775406166,1244.1956736264467,104.32681585721501,77.26575629903544,140.74828228425764
435,2020-05-16,North West,2191.813578364629,1631.6913734633952,2937.854771057553,313.4707609112519,233.36270085229182,420.16874957828065
655,2020-05-16,UK,12458.855673315398,11001.12403348679,14106.942930057801,,,
160,2020-05-16,London,1045.2441299222235,737.2974043731147,1479.9950244240165,117.62025183109664,82.96732207741033,166.5423248963627
215,2020-05-16,East of England,978.7409348110347,694.3714827841679,1377.5178081160714,150.89980049605595,107.05643801698294,212.38220966471818
545,2020-05-16,Wales,1714.993906915024,1076.0506965463844,2965.2112207410064,546.4146332955431,342.8407788447844,944.7466811934906
50,2020-05-16,England,8598.063018716179,7592.05822724342,9735.435379820303,153.8018622001973,135.80648231358487,174.14714075561886
490,2020-05-16,Scotland,1335.7743827833551,798.1915053249961,2427.3507831708366,245.63255232219987,146.77764390595908,446.36008590699635
325,2020-05-16,North East and Yorkshire,1842.9784195281013,1345.3760472601198,2520.381847773554,215.2964887603054,157.1666471881365,294.4306652813646
270,2020-05-16,Midlands,2062.0873532196165,1517.0956110293405,2798.6962056653024,195.68705340327946,143.96866815067534,265.5894344158047
600,2020-05-16,Northern Ireland,810.0243649008403,373.6312219339445,1715.1907706786217,430.4887201534621,198.5668993542037,911.5408272674098
380,2020-05-16,South West,533.3121645572248,341.8245386620688,830.7181510533602,95.21632601505372,61.02856614983612,148.3145061260498
159,2020-05-17,London,863.8769104245432,590.1879431628224,1262.9474154157242,97.21118430271906,66.41324501640925,142.11817966553286
544,2020-05-17,Wales,1589.1136285518348,962.7779661545487,2617.5264508255395,506.3078866396957,306.750926169578,833.9707505678558
489,2020-05-17,Scotland,1190.7807995223875,679.4696959576216,2084.442905357402,218.9700078193464,124.94615692201718,383.3035261134224
599,2020-05-17,Northern Ireland,780.205114309905,359.7795562467288,1654.102563330071,414.6412326221475,191.20540988294184,879.075403587017
269,2020-05-17,Midlands,1935.42732294372,1418.2716287713447,2637.3215137116895,183.66732588302602,134.59051360089302,250.27537028900664
434,2020-05-17,North West,1910.126616468933,1400.7634597957629,2599.2841312061187,273.18420225688584,200.3356452999432,371.74675003230345
104,2020-05-17,South East,844.1961276862575,618.1789913780243,1151.886545265834,95.4987687238466,69.93082601474687,130.3059125418484
379,2020-05-17,South West,538.1754071215485,348.8020873472111,829.0487359563945,96.0845981458411,62.2743216276659,148.01645259813316
49,2020-05-17,England,7787.822277147782,6844.973267482241,8858.805511339622,139.3083030564199,122.4426516713915,158.4660151417275
214,2020-05-17,East of England,864.1970054272986,602.586483210076,1237.540643942732,133.23970733220227,92.90525905670462,190.80088472316078
324,2020-05-17,North East and Yorkshire,1687.526073734583,1221.1870321825438,2328.1564337400437,197.13656682944148,142.65890330709368,271.9749185111406
654,2020-05-17,UK,11347.921819531908,9974.061904841328,12908.490818043969,,,
433,2020-05-18,North West,1701.9549245667647,1237.5183987887463,2336.16047206857,243.41171644655316,176.98851669649034,334.11509446735255
378,2020-05-18,South West,543.0698889174068,355.6290348099465,828.0295112512026,96.95844765710459,63.493189109976456,147.83448256583
488,2020-05-18,Scotland,1247.4226643094055,786.9198503778265,2278.468281866938,229.3857531691961,144.7049245835543,418.9824169961821
48,2020-05-18,England,7813.217882021841,6882.474847370114,8868.139918350524,139.76257878257223,123.11347867157154,158.63298870050298
323,2020-05-18,North East and Yorkshire,1881.8503915872902,1394.9439180640632,2534.777782893122,219.8375072588698,162.95715912595182,296.11239646759185
653,2020-05-18,UK,11556.328830802351,10179.69084017833,13116.636776485697,,,
158,2020-05-18,London,821.9448274166339,557.3365842614891,1210.7266205720027,92.49260993142866,62.71651523208978,136.24182708482465
268,2020-05-18,Midlands,1869.7871434931142,1364.5760696923828,2558.345197151777,177.43823317194557,129.49493618968492,242.78071073827329
213,2020-05-18,East of England,887.4509389363764,626.1243412509851,1256.0407431457454,136.8249399534841,96.5342664437957,193.65318320133872
