,date,region,pop_mid,pop_low,pop_up,100k_mid,100k_low,100k_up
2309,2020-05-12,Scotland,1410.0,592.5601113395213,2680.5687922963602,25.924227074112274,10.896454852605162,49.2923777108983
4289,2020-05-12,Northern Ireland,433.0,119.0927959304728,1518.5701115121715,23.010517774320665,6.329205332716467,80.70464693345384
3959,2020-05-12,North East,787.0,461.55650947670273,1334.4460067740886,29.617986855324002,17.365399247178992,50.2066100372168
3629,2020-05-12,Wales,1694.0,738.2930111180101,3104.8012328680966,53.984905094085526,23.52277190654174,98.92214895182315
3299,2020-05-12,West Midlands,1043.0,643.2731368875485,1685.583897445331,17.675061188848883,10.901535801042959,28.565553495006338
2969,2020-05-12,East Midlands,1208.0,826.3048559607381,1760.202571732185,25.139472760955062,17.19981740701086,36.63921688798963
2639,2020-05-12,Yorkshire and The Humber,1689.0,1212.345397362631,2348.167672500733,30.831103428599235,22.12464557022037,42.852785688423964
1979,2020-05-12,North West,2530.0,1913.964049529647,3338.3455425882535,34.700219974518866,26.247115190791547,45.78034787252787
1649,2020-05-12,South West,768.0,521.2662255004501,1130.745217935908,13.722101570315488,9.30876595946862,20.19283444548551
1319,2020-05-12,East of England,1355.0,1004.6588014347902,1825.2325232046167,21.85448438876695,16.20100195598459,29.43347098172417
989,2020-05-12,London,1261.0,911.9636166389379,1740.6544411920013,14.152571998406879,10.237486801466419,19.5401730315654
659,2020-05-12,South East,1200.0,916.3358145995344,1570.563813206925,13.139874713240271,10.032553499837515,17.19540503586391
329,2020-05-12,England,10844.0,9677.647646026206,12149.537937387267,19.373058362335613,17.288559359005568,21.704448797664053
4619,2020-05-12,UK,14381.0,12834.21715211203,16112.366753740898,,,
988,2020-05-13,London,1249.0,914.735645498285,1702.6943244537551,14.017863228323245,10.268604938575265,19.11404178356433
328,2020-05-13,England,10121.0,9041.760230121123,11326.498391479487,18.08023071075044,16.152583165448466,20.23413611790056
1648,2020-05-13,South West,616.0,407.3504512552716,930.2028360181951,11.00142712035876,7.274459438799721,16.61155101122098
1978,2020-05-13,North West,2380.0,1809.7472812167618,3122.7365975326798,32.631436222805974,24.817940215748234,42.823598074416765
658,2020-05-13,South East,1196.0,921.9463528808697,1549.7350978511872,13.091922793299286,10.093980789455113,16.96736069031942
3958,2020-05-13,North East,605.0,338.81052078631154,1074.912108126638,22.76930985245363,12.747258118555283,40.442020706000015
4288,2020-05-13,Northern Ireland,978.0,420.94411175050516,2199.1432616267152,51.98017550550531,22.371140891026663,116.87381382011719
1318,2020-05-13,East of England,1296.0,967.275439793046,1733.9771907581787,20.899587594328654,15.598162549994985,27.961898924278035
