region,# total tests,# +ve tests,population,# active users,# newly sick users,"est. daily
cases","est. daily
cases
95% lower lim.","est. daily
cases
95% upper lim.","est. daily
cases/million","est. daily
cases/million
95% lower lim.","est. daily
cases/million
95% upper lim."
East Midlands,1667.0,217.0,4804149.0,51946.0,2638.0,4125.0,3470.0,4851.0,859.0,722.0,1010.0
East of England,3353.0,388.0,6201214.0,98157.0,5132.0,4869.0,4279.0,5511.0,785.0,690.0,889.0
England,26044.0,3476.0,55977178.0,736813.0,39952.0,54458.0,47760.0,61704.0,973.0,853.0,1102.0
London,4970.0,725.0,8908081.0,110042.0,7421.0,11372.0,10357.0,12439.0,1277.0,1163.0,1396.0
North East,870.0,173.0,2657909.0,23513.0,1291.0,3767.0,3103.0,4490.0,1417.0,1167.0,1689.0
North West,2217.0,337.0,7292093.0,66798.0,3321.0,7152.0,6233.0,8150.0,981.0,855.0,1118.0
Northern Ireland,92.0,18.0,1881639.0,4708.0,217.0,2235.0,1141.0,3611.0,1188.0,606.0,1919.0
Scotland,1183.0,85.0,5438100.0,46599.0,2047.0,2234.0,1674.0,2874.0,411.0,308.0,528.0
South East,6191.0,724.0,9133625.0,182127.0,9553.0,7270.0,6613.0,7964.0,796.0,724.0,872.0
South West,3245.0,383.0,5599735.0,98742.0,5125.0,4452.0,3910.0,5042.0,795.0,698.0,900.0
Wales,771.0,68.0,3138631.0,39614.0,1705.0,1552.0,1125.0,2050.0,495.0,358.0,653.0
West Midlands,1623.0,249.0,5900757.0,52355.0,2508.0,5630.0,4794.0,6546.0,954.0,812.0,1109.0
Yorkshire and The Humber,1908.0,280.0,5479615.0,53133.0,2963.0,5821.0,5000.0,6711.0,1062.0,913.0,1225.0
