2020-06-10,1834.0,49167.33984170954
2020-06-11,1768.0,45721.354034104486
2020-06-12,1742.0,42557.00956350102
2020-06-13,1726.0,39688.75637480647
2020-06-14,1841.0,37236.50312749086
2020-06-15,1905.0,35129.62539941944
2020-06-16,1948.0,33335.50931392392
2020-06-17,1917.0,31738.438619556742
2020-06-18,1928.0,30361.337656103296
2020-06-19,1887.0,29136.022608663192
2020-06-20,1831.0,28016.896622155928
2020-06-21,1764.0,26984.130365068802
2020-06-22,1740.0,26050.85667051021
2020-06-23,1754.0,25253.40739217262
2020-06-24,1466.0,24264.12211996236
2020-06-25,1384.0,23290.726403313085
2020-06-26,1217.0,22239.116724065243
2020-06-27,1214.0,21271.68612301395
2020-06-28,1246.0,20424.986535245178
2020-06-29,1244.0,19663.874365922442
2020-06-30,1261.0,19007.031375225266
2020-07-01,1154.0,18326.532533867412
2020-07-02,1122.0,17689.33850776213
2020-07-03,1391.0,17382.76961853469
2020-07-04,1256.0,17009.05830853236
2020-07-05,1217.0,16649.761449990026
2020-07-06,1416.0,16539.117065967424
2020-07-07,1626.0,16684.72244404079
2020-07-08,1701.0,16934.94998260336
2020-07-09,1629.0,17134.435872516868
2020-07-10,1691.0,17410.47983942958
2020-07-11,1749.0,17743.709087038173
2020-07-12,1887.0,18206.5867873875
2020-07-13,1849.0,18616.70369422872
2020-07-14,1832.0,18986.13828665658
2020-07-15,1863.0,19360.341111316236
2020-07-16,1647.0,19490.467729767555
2020-07-17,1814.0,19760.85572545733
2020-07-18,1778.0,19969.36775276915
2020-07-19,1777.0,20153.684725517393
2020-07-20,1984.0,20523.76682641128
2020-07-21,1842.0,20731.657281066346
2020-07-22,1796.0,20871.77110319534
2020-07-23,1783.0,20977.281563694334
2020-07-24,1946.0,21233.31281664579
2020-07-25,1861.0,21387.98094778107
2020-07-26,1780.0,21447.62213671471
2020-07-27,1506.0,21216.532875004286
2020-07-28,1640.0,21105.94016965848
2020-07-29,1817.0,21166.005730300887
2020-07-30,1708.0,21114.30782346113
2020-07-31,1490.0,20846.238617946492
2020-08-01,1426.0,20516.200953037704
2020-08-02,1288.0,20048.057149771532
2020-08-03,1303.0,19610.898777499115
2020-08-04,1276.0,19166.326256493205
2020-08-05,1259.0,18724.057709370813
2020-08-06,1173.0,18219.642858622865
2020-08-07,1228.0,17800.97214674236
2020-08-08,1222.0,17412.889471428683
2020-08-09,900.0,16736.7030171601
2020-08-10,927.0,16122.806021071807
2020-08-11,1004.0,15622.973493463607
2020-08-12,797.0,14960.098346758063
2020-08-13,830.0,14374.827504552617
2020-08-14,873.0,13877.918910818578
2020-08-15,951.0,13510.736236565597
2020-08-16,877.0,13110.46436165137
2020-08-17,793.0,12669.623740534893
2020-08-18,874.0,12349.898330271106
2020-08-19,1113.0,12302.545819996272
2020-08-20,1051.0,12231.21212885978
2020-08-21,1107.0,12244.583813713869
2020-08-22,1040.0,12212.362762646693
2020-08-23,1022.0,12173.699941029758
2020-08-24,1154.0,12280.59987573281
2020-08-25,1161.0,12403.952810444815
2020-08-26,1116.0,12491.608025353893
2020-08-27,1239.0,12697.732419300792
2020-08-28,1401.0,13058.067656192701
2020-08-29,1348.0,13360.688993628668
2020-08-30,1366.0,13673.598524671397
2020-08-31,1618.0,14222.607396772655
2020-09-01,1577.0,14712.258277412964
2020-09-02,1730.0,15327.410647915785
2020-09-03,2015.0,16196.420844057388
2020-09-04,2149.0,17161.863562574363
2020-09-05,2387.0,18320.86635523516
2020-09-06,2516.0,19551.39535220641
2020-09-07,2583.0,20782.63205306814
2020-09-08,3103.0,22465.019640096783
2020-09-09,3520.0,24476.56482346906
2020-09-10,4115.0,26980.406369377775
2020-09-11,4434.0,29688.944350640922
2020-09-12,5036.0,32856.625273558806
2020-09-13,5774.0,36595.477400622905
2020-09-14,6329.0,40694.41617831029
2020-09-15,7086.0,45328.03749312409
2020-09-16,7622.0,50242.23464199893
2020-09-17,8681.0,55921.57701147385
2020-09-18,9428.0,62015.57148938909
2020-09-19,10576.0,68894.15573409782
2020-09-20,11918.0,76707.29764411098
2020-09-21,12717.0,84868.38713887199
2020-09-22,13789.0,93598.04976048267
2020-09-23,14231.0,102213.09051370437
2020-09-24,14256.0,110254.14259518738
2020-09-25,14024.0,117432.51647059778
2020-09-26,14432.0,124370.8059176893
2020-09-27,14726.0,130959.39621271419
2020-09-28,15475.0,137672.93105553792
2020-09-29,15243.0,143546.43252108945
2020-09-30,14850.0,148432.83191325975
2020-10-01,14900.0,152811.72397413105
2020-10-02,15516.0,157283.57572905748
2020-10-03,16174.0,161928.20828439147
2020-10-04,16594.0,166544.19415986977
2020-10-05,16662.0,170799.96870388175
2020-10-06,17379.0,175364.9734078991
2020-10-07,17729.0,179888.17638973
2020-10-08,18713.0,185001.3462871458
2020-10-09,18893.0,189906.49305044164
2020-10-10,19837.0,195359.4561247561
2020-10-11,21114.0,201693.4654784765
2020-10-12,22285.0,208779.80591793268
2020-10-13,23057.0,216188.87676546432
2020-10-14,24246.0,224306.57174704995
2020-10-15,25005.0,232659.06839633526
2020-10-16,25301.0,240747.52760526547
2020-10-17,26605.0,249531.4802684129
2020-10-18,27464.0,258545.3932464499
2020-10-19,28624.0,268051.80225485726
2020-10-20,29272.0,277506.81411769724
2020-10-21,31161.0,288137.34729396214
2020-10-22,32077.0,298935.44089114986
2020-10-23,32951.0,309838.6758665283
2020-10-24,32938.0,319933.98995973996
2020-10-25,33182.0,329456.7399612553
2020-10-26,33465.0,338421.33344702626
2020-10-27,33264.0,346354.6314984529
