date,active_cases
2020-07-01,25302.895944900964
2020-07-02,24334.153269098053
2020-07-03,23382.734554432554
2020-07-04,22549.014779920413
2020-07-05,22050.801768415713
2020-07-06,21486.396718749264
2020-07-07,20960.5984320645
2020-07-08,20699.50416756875
2020-07-09,20792.286508813195
2020-07-10,20959.55528078423
2020-07-11,21079.50590812813
2020-07-12,21288.125339242462
2020-07-13,21626.256822526404
2020-07-14,22127.89253559618
2020-07-15,22618.99430316251
2020-07-16,23064.184093492153
2020-07-17,23498.144834338218
2020-07-18,23702.858976897256
2020-07-19,24117.08581710226
2020-07-20,24446.666595594907
2020-07-21,24713.637335024836
2020-07-22,25167.32912837566
2020-07-23,25453.93571245969
2020-07-24,25632.722532752563
2020-07-25,25742.98804939988
2020-07-26,25966.026424510397
2020-07-27,26072.018011597116
2020-07-28,26102.057194480407
2020-07-29,25866.65961597693
2020-07-30,25681.001942787927
2020-07-31,25658.82478923975
2020-08-01,25537.977305659013
2020-08-02,25202.016922547078
2020-08-03,24784.004775462985
2020-08-04,24260.659140378346
2020-08-05,23835.34446525368
2020-08-06,23391.928129569143
2020-08-07,22921.199446861123
2020-08-08,22394.12643917587
2020-08-09,21982.98646317312
2020-08-10,21587.567501695965
2020-08-11,20923.189564626206
2020-08-12,20299.505661594354
2020-08-13,19789.8117457432
2020-08-14,19065.347552765284
2020-08-15,18398.910131221357
2020-08-16,17789.231459789276
2020-08-17,17304.558218441372
2020-08-18,16767.129435447034
2020-08-19,16198.789095648355
2020-08-20,15753.657532817142
2020-08-21,15571.059309884375
2020-08-22,15364.749658806726
2020-08-23,15238.320801294118
2020-08-24,15106.498539113669
2020-08-25,14955.591728267524
2020-08-26,14957.351114376877
2020-08-27,15017.707514523307
2020-08-28,15030.299309971448
2020-08-29,15205.532826676803
2020-08-30,15510.737170295522
2020-08-31,15751.227213509272
2020-09-01,16024.792868913664
2020-09-02,16596.204599263485
2020-09-03,17183.54332483262
2020-09-04,17905.675748038433
2020-09-05,18952.93584270998
2020-09-06,20120.560048940853
2020-09-07,21542.199939439302
2020-09-08,23093.999199161615
2020-09-09,24729.94642040868
2020-09-10,26902.765279550906
2020-09-11,29516.15819173257
2020-09-12,32692.64326278525
2020-09-13,36210.69470634089
2020-09-14,40254.92477705443
2020-09-15,44988.40601650425
2020-09-16,50117.112408433124
2020-09-17,55705.06364230077
2020-09-18,61809.479373863694
2020-09-19,68645.07700480505
2020-09-20,76042.94483383803
2020-09-21,84296.62186637729
2020-09-22,93341.10678767487
2020-09-23,102717.98438118536
2020-09-24,112842.68328938916
2020-09-25,122908.28813724796
2020-09-26,132563.32504246244
2020-09-27,141497.23025700243
2020-09-28,150248.9547534007
2020-09-29,158589.76873880305
2020-09-30,167194.56099392762
2020-10-01,174890.83692355835
2020-10-02,181572.62479927234
2020-10-03,187688.45133617197
2020-10-04,194017.4410688401
2020-10-05,200648.3967509391
2020-10-06,207226.08815688465
2020-10-07,213449.6294342893
2020-10-08,219850.90572656313
2020-10-09,226268.3999209446
2020-10-10,233276.99561531295
2020-10-11,240012.5195045165
2020-10-12,247417.32269345113
2020-10-13,255695.61246668734
2020-10-14,264834.8463388394
2020-10-15,274300.67894857546
2020-10-16,284513.17309811147
2020-10-17,294904.1793086482
2020-10-18,305041.85476803576
2020-10-19,316055.40269579063
2020-10-20,327316.66364088596
2020-10-21,339128.0670644381
2020-10-22,350938.33479599626
2020-10-23,363923.5737193148
2020-10-24,377187.3964901726
2020-10-25,390415.10879224853
2020-10-26,402751.89806982235
2020-10-27,414543.37019557576
2020-10-28,425712.78787450533
2020-10-29,435744.7350462406
2020-10-30,444313.35113958165
2020-10-31,451866.08207667415
2020-11-01,458388.4088674941
2020-11-02,463973.2270033989
2020-11-03,468447.8842869743
2020-11-04,471273.13928219734
2020-11-05,471870.4208411085
2020-11-06,471137.6482951109
2020-11-07,469815.3941023244
2020-11-08,467694.16193154047
2020-11-09,465600.55755863804
2020-11-10,463376.08719879616
2020-11-11,461369.8754192377
2020-11-12,460576.8729719942
2020-11-13,459815.4246033286
2020-11-14,458192.86685051
2020-11-15,457334.2410696871
2020-11-16,456573.74663877854
2020-11-17,455589.1319134756
2020-11-18,455172.27642273076
2020-11-19,454767.6749704119
2020-11-20,453233.5005855624
