date,age_group,imd,respondent_count,unhealthy_count,unhealthy_unk_count,predicted_covid_positive_count,predicted_covid_positive_prob,population,corrected_covid_positive,corrected_covid_positive_prob,factor,factor_prob,+ symptom_based,+ response_rate
20211101,0 - 17,1,2316,359,359,60,325.23459001578163,4829017,147804.10614476673,547996.9000103686,1.5373161744043269,0.28848897130144613,99433.69627734272,0.00047960071376845434
20211101,0 - 17,2,6535,1021,1021,142,832.7840926843558,4042171,129903.5483441531,520704.82129425404,1.5373161744043269,0.28848897130144613,87754.68213956905,0.0016167054783184582
20211101,0 - 17,3,16489,2620,2620,417,2377.7657696920237,5173265,192113.37095109516,715463.217552913,1.5373161744043269,0.28848897130144613,125853.19063696422,0.0031873488019654897
20211101,18 - 34,1,5671,909,909,52,342.9613687643209,5080285,85411.94986792207,339372.39157110214,1.5373161744043269,0.28848897130144613,54261.753694534236,0.0011162759569591076
20211101,18 - 34,2,10448,1494,1494,103,614.1905693144931,4715008,74577.97723104527,277156.79623287544,1.5373161744043269,0.28848897130144613,47873.88917341295,0.0022159029210554893
20211101,18 - 34,3,18104,2461,2461,150,941.387869945659,4909056,67519.77151748346,269560.85642822564,1.5373161744043269,0.28848897130144613,43739.71344405141,0.00368787807676262
20211101,35 - 54,1,20504,3272,3272,284,1475.7589955540375,5174512,117330.07489016459,390508.3135103849,1.5373161744043269,0.28848897130144613,76454.2549731785,0.003962499265631233
20211101,35 - 54,2,43292,6842,6841,578,2949.4465582458915,5317627,111748.90956250807,374884.95519782987,1.5373161744043269,0.28848897130144613,73401.18311933546,0.008141225399976342
20211101,35 - 54,3,87800,13600,13597,1456,7061.300171505148,7050002,174894.33227653516,551663.484676901,1.5373161744043269,0.28848897130144613,114200.41359128169,0.012453897176199383
20211101,55 - 74,1,33683,2977,2977,185,1109.8645323477547,3673492,31923.084302698913,120797.37643976578,1.5373161744043269,0.28848897130144613,20252.8509833125,0.009169204669562368
20211101,55 - 74,2,100780,8505,8503,522,3189.741553841881,4474672,36520.27702921376,142468.0778514439,1.5373161744043269,0.28848897130144613,23972.928033676686,0.0225223211891285
