date,imd,respondent_count,unhealthy_count,unhealthy_unk_count,predicted_covid_positive_count,predicted_covid_positive_prob,population,corrected_covid_positive,corrected_covid_positive_prob,factor,factor_prob,+ symptom_based,+ response_rate
20220906,1,25986,2241,414,98,575.9410884413996,19898378,506381.8753255949,1950071.4322813035,3.2598297178514537,0.4930064525132815,337278.87660134,0.0013059355893229087
20220906,2,73128,5972,1056,184,1127.3355986147906,20057685,325864.8618724608,1271617.378428914,3.2598297178514537,0.4930064525132815,206200.8795127447,0.003645884358040322
20220906,3,172144,13092,2503,477,2873.4995602519925,25874671,685953.3314923053,2431335.0568433567,3.2598297178514537,0.4930064525132815,416396.8748758374,0.006652992805203204
20220907,1,25768,2241,404,92,520.8377862878891,19898378,475022.6765145697,1727250.4920107073,2.891989080004525,0.4489146303332339,308021.0159668764,0.0012949799224841341
20220907,2,72606,5941,1053,179,1053.7159717944935,20057685,321740.5730617946,1169937.3236954312,2.891989080004525,0.4489146303332339,195867.8674791155,0.0036198594204665193
20220907,3,170867,13062,2511,474,2734.6078991628906,25874671,730732.1450111363,2378342.9909588774,2.891989080004525,0.4489146303332339,421753.5660955022,0.0066036395206725525
20220908,1,25353,2190,380,86,484.3012058872132,19898378,464052.6408174123,1615832.478668633,2.7743943797683612,0.44358865399650255,287048.72396281426,0.0012741239512084855
20220908,2,71494,5815,1008,164,996.9434943133496,20057685,333642.24521405454,1131490.377268569,2.7743943797683612,0.44358865399650255,184853.0266573651,0.003564419323566005
20220908,3,168647,12821,2450,460,2697.9535774107594,25874671,740328.5736388107,2356444.295496037,2.7743943797683612,0.44358865399650255,406763.75209623954,0.006517841328301334
20220909,1,25181,2197,383,77,434.0582680200066,19898378,428760.73727882444,1403701.6016097553,2.793465144272979,0.45233005386199054,251647.01839480948,0.0012654800305833974
20220909,2,71129,5739,1017,165,991.4420383780605,20057685,388531.32345901657,1257438.477176525,2.793465144272979,0.45233005386199054,209570.51167296167,0.0035462218097452422
20220909,3,167604,12736,2450,451,2630.8934776251003,25874671,731360.425606371,2292004.0070420154,2.793465144272979,0.45233005386199054,395260.9887140146,0.006477531637020621
20220910,1,24808,2128,364,73,394.0971999192276,19898378,387211.4330810863,1218353.213992524,2.936920575868936,0.48626121730911137,225888.80716480067,0.0012467347841115491
20220910,2,70169,5671,1010,168,984.1802321637888,20057685,413218.89027595124,1336319.2889770023,2.936920575868936,0.48626121730911137,230754.20491840187,0.0034983598555865247
20220910,3,165148,12489,2408,452,2569.2946194814303,25874671,760932.9349521518,2188770.908570184,2.936920575868936,0.48626121730911137,386152.2724640556,0.0063826125557306605
20220911,1,24561,2079,364,62,326.9807957236353,19898378,403535.68785253185,1347308.6188065135,3.0622637033931355,0.5277382719707014,251425.2330757377,0.0012343217120511028
20220911,2,69537,5608,984,173,950.9488968862049,20057685,382561.63686129835,1112027.3219426076,3.0622637033931355,0.5277382719707014,197014.7907594263,0.003466850735765369
20220911,3,163225,12304,2366,435,2354.3877017155464,25874671,789216.1509014749,2087978.8703073075,3.0622637033931355,0.5277382719707014,390132.77065488946,0.006308292770176672
20220912,1,24461,2048,357,57,307.1778343198272,19898378,342732.4667968814,1023727.507323633,2.490919039459604,0.47526607150252825,180065.0737349931,0.0012292961768039586
20220912,2,69116,5543,990,170,983.9793571664346,20057685,425784.7871877406,1194393.902897685,2.490919039459604,0.47526607150252825,202327.50631397104,0.0034458612746186812
20220912,3,162133,12296,2407,431,2453.329028904428,25874671,822503.9396445644,2066689.5943100934,2.490919039459604,0.47526607150252825,369953.7653093043,0.0062660893350102885
20220913,1,24489,2094,360,54,312.4508259991258,19898378,281014.0994038269,771533.5097323366,2.6368547850741715,0.4760451406038707,139544.98170456797,0.0012307033266731589
20220913,2,68845,5561,995,183,1115.4427489896527,20057685,483663.24487521296,1339306.0805856234,2.6368547850741715,0.4760451406038707,215479.1530827751,0.003432350243809293
20220913,3,161703,12384,2425,425,2582.436084937019,25874671,843143.8326941124,2072620.9408894149,2.6368547850741715,0.4760451406038707,348502.2520734184,0.006249470766217665
20220914,1,25346,2144,386,53,367.7914931374102,19898378,242805.64019366904,772542.8467168714,2.4884498788186526,0.3996975732805253,103261.60610690067,0.0012737721637411854
20220914,2,71392,5813,1093,198,1369.8852947988648,20057685,515277.3231530704,1625509.1076911106,2.4884498788186526,0.3996975732805253,230771.370369788,0.003559333990936641
20220914,3,167334,12932,2551,434,3007.8549016116363,25874671,866253.5199406394,2391161.5253403364,2.4884498788186526,0.3996975732805253,355262.59634736367,0.00646709672173223
20220915,1,25301,2214,405,63,432.094149473827,19898378,339430.8619907856,1073886.2794103636,2.5400240195277997,0.3710052420260628,172648.24825925473,0.0012715106728799705
20220915,2,71182,5963,1131,204,1452.6033761109616,20057685,506951.66668932815,1764444.214691239,2.5400240195277997,0.3710052420260628,248494.0302637694,0.0035488641884644217
20220915,3,166486,13125,2598,445,3185.975537112046,25874671,794785.8325471443,2661433.1039350447,2.5400240195277997,0.3710052420260628,376940.0616032429,0.0064343233581598
20220916,1,25092,2235,409,65,501.46998308268763,19898378,340533.4309281163,1337567.3874739753,2.6518790357544977,0.3480986166089293,182593.1854029555,0.001261007304213439
20220916,2,70796,6055,1161,206,1620.4455494095853,20057685,479233.5720346201,1933380.3179727148,2.6518790357544977,0.3480986166089293,243952.70147195633,0.003529619694396437
20220916,3,165682,13378,2681,449,3609.7920906109593,25874671,840025.3746290072,3073043.965294895,2.6518790357544977,0.3480986166089293,391110.6473696258,0.006403250499301035
20220917,1,25247,2341,435,66,507.4747752568575,19898378,373862.636330068,1405943.1301921164,2.4314355432731922,0.31936830978712366,194778.07169842845,0.0012687968838465125
20220917,2,71362,6292,1207,209,1598.975646453697,20057685,466663.17045700824,1897408.2553380537,2.4314355432731922,0.31936830978712366,245794.20859624408,0.003557838304869181
20220917,3,167138,14172,2890,476,3710.3223602287017,25874671,841608.0568694721,3125755.4266897314,2.4314355432731922,0.31936830978712366,407225.6893664819,0.006459521746189546
20220918,1,25278,2489,478,70,561.5557198078001,19898378,369304.16146636545,1460592.4189817132,2.604767476415788,0.32700347487200737,190396.70342074634,0.0012703547997731273
20220918,2,71264,6562,1280,204,1631.0479999286724,20057685,479622.94681063807,2038963.0928270028,2.604767476415788,0.32700347487200737,255120.55128520148,0.003552952397048812
20220918,3,167138,14848,3039,507,4060.9458187848436,25874671,857641.9994930193,3390284.168415828,2.604767476415788,0.32700347487200737,425899.47738210106,0.006459521746189546
20220919,1,25149,2624,518,76,627.2387301932439,19898378,407920.6161254175,1765942.602879625,2.3325886952858563,0.27903340556789186,210076.37429064832,0.001263871859304311
20220919,2,70859,6881,1357,214,1754.430886981802,20057685,441091.9267922753,2037061.7602601508,2.3325886952858563,0.27903340556789186,247228.07569987368,0.003532760635138103
20220919,3,166386,15764,3219,517,4229.086794721789,25874671,885278.0381587383,3678234.8503617817,2.3325886952858563,0.27903340556789186,454795.75557370065,0.0064304585747196556
20220920,1,24976,2713,531,83,677.044470050958,19898378,414779.9034333162,1882556.7977386855,2.4757651086761814,0.3248518393935755,226402.35405174823,0.0012551776833267516
20220920,2,70372,7116,1390,227,1816.5737384297863,20057685,486559.9891359211,2165761.42740317,2.4757651086761814,0.3248518393935755,280303.59049693064,0.0035084806646430034
20220920,3,165434,16274,3362,537,4394.090898998143,25874671,816162.1491069546,3629231.6968463883,2.4757651086761814,0.3248518393935755,452353.58127440256,0.006393665836369475
20220921,1,24408,2771,542,83,684.8640783322542,19898378,428985.5753796224,2033277.9006280545,2.3537397027146496,0.29995335704276876,245386.03996413312,0.001226632643122972
20220921,2,68670,7274,1427,241,1889.8637132667527,20057685,476088.9627823656,2293589.31208246,2.3537397027146496,0.29995335704276876,296446.969047177,0.003423625408415777
20220921,3,161629,16753,3505,577,4657.626057913879,25874671,894613.2668710955,4009206.97348189,2.3537397027146496,0.29995335704276876,506002.67878242367,0.006246610826471958
20220922,1,25015,2960,579,90,764.384605441308,19898378,422723.1676492982,2016109.447502163,2.834234119878464,0.351291338705736,252277.6769660891,0.001257137642073138
20220922,2,70619,7758,1539,269,2179.64841420944,20057685,491522.08410171187,2367669.4268305907,2.834234119878464,0.351291338705736,294888.510765716,0.0035207951465984237
20220922,3,165739,17861,3736,615,5153.009394623193,25874671,921225.7734515833,4151730.716108178,2.834234119878464,0.351291338705736,501295.46887790464,0.006405453425861917
20220923,1,25243,3104,610,92,777.327400800576,19898378,416103.22294613434,2207837.242334379,2.182918204538784,0.2817296318101865,275838.4601207047,0.0012685958624366266
20220923,2,71161,8165,1605,293,2402.7805441052587,20057685,514671.47849228187,2643409.826391815,2.182918204538784,0.2817296318101865,322895.26107765624,0.0035478172082171995
20220923,3,166934,18590,3952,672,5617.23709058209,25874671,945323.68796552,4615491.432764547,2.182918204538784,0.2817296318101865,560415.2920107829,0.00645163758797165
20220924,1,25557,3279,652,107,950.9117482745636,19898378,469166.34303623915,2858173.0333141624,1.7683127517219333,0.21242049798045187,318017.87694665586,0.0012843760431126598
20220924,2,71661,8545,1685,310,2686.2422766206887,20057685,524292.5918575855,3030611.244206929,1.7683127517219333,0.21242049798045187,350030.2187774398,0.0035727453093415316
20220924,3,168278,19456,4152,724,6415.035526279956,25874671,926257.0062796619,5222224.602169329,1.7683127517219333,0.21242049798045187,596884.9172606815,0.006503580277407199
20220925,1,25670,3361,672,115,1052.6781667963053,19898378,498643.33000401064,3378308.2949937466,1.5276829439480546,0.17451046067391643,361663.47443983157,0.0012900548979419327
20220925,2,72171,8839,1752,308,2806.101417312794,20057685,517698.04134982795,3243353.9524700628,1.5276829439480546,0.17451046067391643,357578.00056818273,0.0035981719724883505
20220925,3,169301,20150,4374,780,7192.034041627505,25874671,949532.5533923693,5833565.352798526,1.5276829439480546,0.17451046067391643,643360.6288690752,0.006543117011999882
20220926,1,25754,3446,705,126,1058.2471894505475,19898378,537252.4961345863,3294474.637663264,1.5607514608992736,0.19343749774716698,388342.33119958866,0.0012942763475495339
20220926,2,72412,9118,1801,327,2720.730513398757,20057685,526248.247387385,3019703.5472971792,1.5607514608992736,0.19343749774716698,360948.0912258731,0.0036101873172302784
20220926,3,169643,20680,4511,817,6907.094245626728,25874671,952739.3383997033,5576356.925417874,1.5607514608992736,0.19343749774716698,664911.115444137,0.006556334571365178
20220927,1,25828,3558,739,123,1049.5392219400592,19898378,536681.7173794713,3247195.8088643067,1.4564930593337815,0.16932672846176344,381360.5260474309,0.0012979952436324208
20220927,2,72590,9483,1882,338,2895.442401787399,20057685,523092.6107058873,3107290.2726999093,1.4564930593337815,0.16932672846176344,354271.7280324661,0.003619061721230541
20220927,3,170188,21421,4705,835,7192.67517914036,25874671,1009362.0426501669,5949253.811080455,1.4564930593337815,0.16932672846176344,700630.3936824497,0.006577397641113968
20220928,1,25865,3633,748,122,1034.7930883045765,19898378,536443.2329652328,3259629.122874738,1.6701001860006144,0.1934539263123765,382584.35848419945,0.001299854691673864
20220928,2,72808,9747,1932,352,3006.196260167942,20057685,549423.3287682291,3249390.6822276856,1.6701001860006144,0.1934539263123765,371696.74726969696,0.0036299303733207497
20220928,3,170534,21966,4811,885,7593.096161080963,25874671,1040244.0672176667,6032576.288276018,1.6701001860006144,0.1934539263123765,709063.5399212864,0.00659076979181687
20220929,1,25690,3631,730,126,1035.056483819724,19898378,563477.5586896288,3174142.597722826,1.8213834483881282,0.21871840606683784,386552.12670638243,0.0012910600049913616
20220929,2,72289,9855,1980,360,2984.3715798293656,20057685,559936.9299032651,3363919.4066690034,1.8213834483881282,0.21871840606683784,394232.58181728475,0.003604055004353693
20220929,3,168962,22137,4861,913,7590.645464665575,25874671,1062084.6002977858,5922836.382981145,1.8213834483881282,0.21871840606683784,725445.7820992732,0.00653001539613779
20220930,1,25635,3697,750,132,1140.1667551967194,19898378,604967.7083001286,3463154.1034932667,2.1060185863039242,0.24090500478415758,405489.3719190383,0.0012882959606054323
20220930,2,71895,9918,1991,345,2959.8618454728066,20057685,570623.2000315174,3514129.587349169,2.1060185863039242,0.24090500478415758,402677.52674754447,0.0035844116606677193
20220930,3,168334,22440,4890,907,7837.9229441942725,25874671,1071660.2011715053,6018735.877190073,2.1060185863039242,0.24090500478415758,714598.4897713138,0.00650574455613368
20221001,1,25418,3710,755,129,1185.488881070561,19898378,625596.6405706218,4026492.047997623,2.217116780026102,0.23185922573407527,444305.85396417894,0.0012773905491191293
20221001,2,71453,9988,2002,364,3329.455558074819,20057685,616326.4033680081,4047788.4426014232,2.217116780026102,0.23185922573407527,439349.20615736453,0.0035623752192738096
