date,age_group,respondent_count,unhealthy_count,unhealthy_unk_count,predicted_covid_positive_count,predicted_covid_positive_prob,population,corrected_covid_positive,corrected_covid_positive_prob,factor,factor_prob,+ symptom_based,+ response_rate
20211101,0 - 17,25340,4000,4000,619,3535.78445239216,14044453,469821.02544001513,1784164.938857537,1.5373161744043269,0.28848897130144613,313041.5690538759,0.0018042710527779188
20211101,18 - 34,34223,4864,4864,305,1898.5398080244706,14704349,227509.69861645083,886090.0442322037,1.5373161744043269,0.28848897130144613,145875.35631199856,0.0023274066740390886
20211101,35 - 54,151596,23714,23710,2318,11486.505725305076,17542141,403973.3167292077,1317056.7533851166,1.5373161744043269,0.28848897130144613,264055.85168379574,0.008641818578473404
20211101,55 - 74,376996,31355,31351,2077,11914.238203135677,14608166,125127.2284899588,468853.8104276314,1.5373161744043269,0.28848897130144613,81298.2127914953,0.0258072094744816
20211101,75 - 119,83517,4665,4665,212,1567.680453878612,4931625,21267.23766641643,97023.53624448765,1.5373161744043269,0.28848897130144613,13898.010768547972,0.016934985932628696
20211102,0 - 17,25656,3895,3895,542,3010.806362723625,14044453,442771.90258966066,1563866.0732860062,1.718885962128914,0.3261501008082702,279156.7742403766,0.00182677103907144
20211102,18 - 34,34198,4799,4799,289,1728.7424639470237,14704349,233585.9847024302,815038.7207562589,1.718885962128914,0.3261501008082702,142932.4825535012,0.002325706496765005
20211102,35 - 54,152049,23724,23722,2249,10799.074628135244,17542141,417293.3436934645,1244577.3840982,1.718885962128914,0.3261501008082702,257859.27241015146,0.008667642108223848
20211102,55 - 74,377238,31324,31320,2034,11412.364412947025,14608166,129018.2669214068,448497.5415336734,1.718885962128914,0.3261501008082702,79362.70013895752,0.02582377555129097
20211102,75 - 119,83590,4625,4625,196,1442.051834101035,4931625,19677.786218225847,87643.06921609884,1.718885962128914,0.3261501008082702,12134.809665672628,0.016949788355765088
