date,region,respondent_count,unhealthy_count,unhealthy_unk_count,predicted_covid_positive_count,predicted_covid_positive_prob,population,corrected_covid_positive,corrected_covid_positive_prob,factor,factor_prob,+ symptom_based,+ defined_population_fraction
20211101,East Midlands,41967,4158,4156,350,1886.7278582942088,4761918,96109.88970338626,333149.2683058569,1.5373161744043269,0.28848897130144613,62517.972102014995,0.8883305004412088
20211101,East of England,79248,7982,7982,685,3792.8527538590656,6134967,112692.08354194515,420232.8293695977,1.5164234475333136,0.2681658253854122,74314.39003746318,0.9222732575415646
20211101,London,86050,9358,9358,536,3339.8641528965663,8853350,136501.45292595614,508040.7157481471,1.7066330393356963,0.26868211285967963,79982.89601793308,0.9638591041809033
20211101,North East,18642,1985,1985,210,1101.875320409772,2634757,57719.292921538516,229563.70041842837,1.4355948954318802,0.25143039956375035,40205.835995379755,0.9170659761032991
20211101,North West,53397,5507,5506,445,2446.5907114836727,7231315,151274.33808762085,454486.2615606931,1.8518842303674372,0.3328468886345408,81686.71432425668,0.9028922125505527
20211101,Northern Ireland,4165,426,426,36,229.9699976907597,1866621,28422.37839145706,153121.70659811771,0.957161326809168,0.18561952464423778,29694.44919615282,0.726100799251696
20211101,Scotland,39760,3781,3781,233,1309.1867166108098,5386661,67856.10801767174,252570.74259896745,1.4779444481285904,0.2686617908290898,45912.488864918276,0.8816316824095669
20211101,South East,146798,14493,14491,1200,6558.312460202162,9037946,167024.55519521836,652005.0411452594,1.420728382849432,0.2561706500027,117562.62295557972,0.9591730244902991
20211101,South West,82293,8675,8673,783,4134.383128883073,5532533,123762.90618629668,431885.34351520287,1.5493650334234008,0.28656426536488866,79879.75946045217,0.9562820501929225
20211101,Wales,33880,3348,3348,298,1589.367398903905,3108948,75645.70718034964,226358.9408784758,1.8009009001126486,0.3341847549152528,42004.369688314284,0.9391598058249929
20211101,West Midlands,42370,4213,4213,350,1871.0937358602976,5849119,114035.49286640018,471382.18851209467,1.3766437081759286,0.24191727147423667,82835.87989335219,0.935395227896714
20211101,Yorkshire and The Humber,43102,4672,4671,405,2142.524407641738,5432599,116654.30192420834,420392.3444961334,1.4300843719710543,0.27748912046442187,81571.62207389637,0.9672466162144491
20211101,England,593867,61043,61035,4964,27274.22452953055,55468504,1075774.3133525704,3921137.6930714133,0,0,700557.692860328
20211101,UK,671672,68598,68590,5531,30402.748642736027,65830734,1247698.5069420491,4553189.083146975,0,0,818169.0006097134
20211102,East Midlands,42012,4153,4152,335,1750.1508092873257,4761918,95133.40434599038,291685.95720261725,1.718885962128914,0.3261501008082702,55345.96619089471,0.894432033478947
20211102,East of England,79354,7967,7967,675,3658.007724147885,6134967,112860.04167887426,386423.53739725123,1.5873068732855515,0.2920630623047475,71101.58947731787,0.9150169837914368
20211102,London,86108,9283,9283,505,3120.4435866280237,8853350,135038.93454913804,473601.5470847898,1.7502720075722178,0.2851319540241319,77153.11332462488,0.9620591075694511
20211102,North East,18690,2005,2005,208,1034.7330094897277,2634757,58143.34119308934,203122.23869992615,1.4826773934738424,0.2862480325405673,39215.09928526143,0.9140994786236454
20211102,North West,53472,5514,5513,436,2298.191171555347,7231315,149480.24349577952,413311.9029223266,1.8774818962016657,0.3616645018904071,79617.4087207941,0.9049715024169186
20211102,Northern Ireland,4186,430,430,36,233.62396004299566,1866621,29338.3997541394,153810.9707735943,1.141958123688159,0.19074321946335512,25691.30964223606,0.7293274853331233
20211102,Scotland,39773,3775,3775,221,1209.7305550504593,5386661,67268.09117765591,234663.57257485326,1.5388525351122646,0.28665757722664287,43713.149663654076,0.8899878793189324
20211102,South East,147168,14471,14470,1139,6038.059652219544,9037946,167383.60848625298,561211.4183943273,1.6190388687497916,0.2982541035340147,103384.55222851147,0.9599185478647472
20211102,South West,82401,8603,8601,733,3760.3864203718317,5532533,123461.21055613669,376076.69368928764,1.722843809522844,0.3282873217826674,71661.29040468876,0.9585211692365866
20211102,Wales,33900,3332,3332,294,1504.757702726154,3108948,74955.18027832817,200596.3934152094,1.8670112122664928,0.3736616546399234,40147.15058263359,0.9387644952569165
20211102,West Midlands,42498,4172,4172,340,1780.9542942390522,5849119,112700.70365053606,466371.09592339274,1.3250963859311327,0.24165456357751755,85050.94787602362,0.9351257856097644
20211102,Yorkshire and The Humber,43169,4662,4661,388,2004.0008160955988,5432599,116584.12495926679,398747.4608126603,1.468971408502719,0.29237584289982566,79364.46161201848,0.9677842962456827
20211102,England,594872,60830,60824,4759,25444.927484034335,55468504,1070785.612915064,3570551.852126579,0,0,661894.4291201354
20211102,UK,672731,68367,68361,5310,28393.039701853944,65830734,1242347.2841251872,4159622.7888902356,0,0,771446.0390086591
20211103,East Midlands,41981,4129,4128,308,1636.46496961872,4761918,93655.27701951683,261056.03368353922,1.9639960270829748,0.35875545835132405,47686.08272523764,0.8929628775632004
20211103,East of England,79266,8030,8030,692,3679.9564898249446,6134967,112694.81586797448,419141.59135533625,1.4153470053015658,0.26887051581677807,79623.45307959497,0.9128679909769686
20211103,London,86090,9219,9219,497,3014.4566252397235,8853350,133211.48748568277,427612.1214878592,1.859399191781131,0.31152411447593853,71642.22081761723,0.9532398470635409
20211103,North East,18629,1971,1971,203,996.9044055378592,2634757,58576.159625760716,199046.18908991283,1.4761882597222096,0.29428425579803885,39680.68384230588,0.9176307340676958
20211103,North West,53401,5458,5457,428,2225.072750427024,7231315,147590.088365098,400464.4099743425,1.9369004886793502,0.3685473282745747,76199.10740263699,0.9012564104868893
