date,region,active_cases
2020-07-01,East Midlands,2807.919416740446
2020-07-01,East of England,1863.6404053245826
2020-07-01,London,2580.428635903113
2020-07-01,North East,1007.8528887040197
2020-07-01,North West,4040.270868131059
2020-07-01,Northern Ireland,565.3860350463692
2020-07-01,Scotland,2779.7763211566707
2020-07-01,South East,2711.7690284226323
2020-07-01,South West,1227.24575736683
2020-07-01,Wales,5654.95444064056
2020-07-01,West Midlands,3487.017530459171
2020-07-01,Yorkshire and The Humber,2813.4375382898406
2020-07-02,East Midlands,2812.085227495677
2020-07-02,East of England,1775.3470947454637
2020-07-02,London,2486.2072874670557
2020-07-02,North East,1082.0883131668281
2020-07-02,North West,3940.9146907330096
2020-07-02,Northern Ireland,559.8976407419208
2020-07-02,Scotland,2586.999918996864
2020-07-02,South East,2660.965708786466
2020-07-02,South West,1230.8615262730752
2020-07-02,Wales,5343.792971240926
2020-07-02,West Midlands,3455.4760699544618
2020-07-02,Yorkshire and The Humber,2675.057795077197
2020-07-03,East Midlands,2767.760527174784
2020-07-03,East of England,1688.1774505800054
2020-07-03,London,2372.512693675296
2020-07-03,North East,1137.4768468769046
2020-07-03,North West,3880.017000045421
2020-07-03,Northern Ireland,553.9094918981051
2020-07-03,Scotland,2394.6653061216603
2020-07-03,South East,2552.3608974245367
2020-07-03,South West,1239.1123341917996
2020-07-03,Wales,5050.846979011163
2020-07-03,West Midlands,3434.390002379357
2020-07-03,Yorkshire and The Humber,2551.828599576078
2020-07-04,East Midlands,2718.8672383364287
2020-07-04,East of England,1605.5212779635856
2020-07-04,London,2294.465919147362
2020-07-04,North East,1155.0183804998533
2020-07-04,North West,3829.397418594062
2020-07-04,Northern Ireland,544.6870285816098
2020-07-04,Scotland,2207.3699236839198
2020-07-04,South East,2473.41862480254
2020-07-04,South West,1267.1153114208876
2020-07-04,Wales,4790.532303988941
2020-07-04,West Midlands,3430.358831414537
2020-07-04,Yorkshire and The Humber,2456.4996293011154
2020-07-05,East Midlands,2621.2634996511647
2020-07-05,East of England,1531.4799989521277
2020-07-05,London,2222.9129396775766
2020-07-05,North East,1172.846817197857
2020-07-05,North West,3759.205416381788
2020-07-05,Northern Ireland,537.5917675099931
2020-07-05,Scotland,2030.3254492493877
2020-07-05,South East,2392.110295131618
2020-07-05,South West,1293.9976838029036
2020-07-05,Wales,4518.326308368483
2020-07-05,West Midlands,3427.9732501433778
2020-07-05,Yorkshire and The Humber,2324.2297454193767
2020-07-06,East Midlands,2541.109302459571
2020-07-06,East of England,1451.2869456795888
2020-07-06,London,2171.9349061944276
2020-07-06,North East,1202.8564162122877
2020-07-06,North West,3709.272590229099
2020-07-06,Northern Ireland,530.1834392612261
2020-07-06,Scotland,1931.4248053711199
2020-07-06,South East,2296.28109997975
2020-07-06,South West,1298.6004222435056
2020-07-06,Wales,4289.194351815882
2020-07-06,West Midlands,3431.138867780564
2020-07-06,Yorkshire and The Humber,2220.7514521987705
2020-07-07,East Midlands,2448.935714391383
2020-07-07,East of England,1388.937179083702
2020-07-07,London,2136.1823720131515
2020-07-07,North East,1182.8065009609318
2020-07-07,North West,3695.7833776752495
2020-07-07,Northern Ireland,529.0883093979355
2020-07-07,Scotland,1839.0574320492979
2020-07-07,South East,2230.761353041523
2020-07-07,South West,1314.3815425145572
2020-07-07,Wales,4090.861592770051
2020-07-07,West Midlands,3436.698763560378
2020-07-07,Yorkshire and The Humber,2147.359639451669
2020-07-08,East Midlands,2373.0463710776185
2020-07-08,East of England,1340.5287332217056
2020-07-08,London,2126.1327573926264
2020-07-08,North East,1178.614141139865
2020-07-08,North West,3711.644888160392
2020-07-08,Northern Ireland,529.0507760392077
2020-07-08,Scotland,1761.2685909341926
2020-07-08,South East,2169.5350248341556
2020-07-08,South West,1311.4775364593347
2020-07-08,Wales,3901.7507373162307
2020-07-08,West Midlands,3406.911339327593
2020-07-08,Yorkshire and The Humber,2095.8910928193973
2020-07-09,East Midlands,2303.227934422352
2020-07-09,East of England,1317.0129659048473
2020-07-09,London,2178.9865971049026
2020-07-09,North East,1173.863605754898
2020-07-09,North West,3686.481570881863
2020-07-09,Northern Ireland,535.1574878956473
2020-07-09,Scotland,1708.5050216163827
2020-07-09,South East,2142.972485411837
2020-07-09,South West,1301.395917049946
2020-07-09,Wales,3731.915273309668
2020-07-09,West Midlands,3387.768565486935
2020-07-09,Yorkshire and The Humber,2060.8932200611007
2020-07-10,East Midlands,2248.49962041728
2020-07-10,East of England,1337.7217595031855
2020-07-10,London,2239.4062376060992
2020-07-10,North East,1174.1387485888401
2020-07-10,North West,3750.4496111022013
2020-07-10,Northern Ireland,543.0990471453641
2020-07-10,Scotland,1682.7416937019252
2020-07-10,South East,2162.645932119671
2020-07-10,South West,1296.9148618134311
2020-07-10,Wales,3592.1166387399567
2020-07-10,West Midlands,3388.3034937291623
2020-07-10,Yorkshire and The Humber,2026.4726746171325
2020-07-11,East Midlands,2227.749080395523
2020-07-11,East of England,1337.7085210185173
2020-07-11,London,2290.520661428608
2020-07-11,North East,1166.2546616405343
2020-07-11,North West,3778.169311002923
2020-07-11,Northern Ireland,549.8297328838903
2020-07-11,Scotland,1659.5525809178016
2020-07-11,South East,2174.267403347275
2020-07-11,South West,1305.8252577173373
2020-07-11,Wales,3496.677712409872
2020-07-11,West Midlands,3369.938074519337
2020-07-11,Yorkshire and The Humber,2010.160142392249
2020-07-12,East Midlands,2187.018057426845
2020-07-12,East of England,1324.4176991727932
2020-07-12,London,2331.465611274924
2020-07-12,North East,1152.4128552836028
2020-07-12,North West,3766.3333253407336
2020-07-12,Northern Ireland,0.0
2020-07-12,Scotland,1709.6563826464435
2020-07-12,South East,2182.5375935498237
2020-07-12,South West,1329.5199389682296
2020-07-12,Wales,3430.1035663003095
2020-07-12,West Midlands,3383.754564557762
2020-07-12,Yorkshire and The Humber,2035.084735807468
2020-07-13,East Midlands,2120.9920204060727
2020-07-13,East of England,1348.0903036030577
2020-07-13,London,2382.0238618080057
2020-07-13,North East,1137.7472035862359
2020-07-13,North West,3808.5462854757025
2020-07-13,Northern Ireland,559.7530592389446
2020-07-13,Scotland,1690.8783687893722
2020-07-13,South East,2223.795608356748
2020-07-13,South West,1366.3010761496112
2020-07-13,Wales,3425.5050211736916
2020-07-13,West Midlands,3377.8920950159995
2020-07-13,Yorkshire and The Humber,2068.6733521634924
2020-07-14,East Midlands,2054.637321242559
2020-07-14,East of England,1358.6175661519342
2020-07-14,London,2471.6855876104087
2020-07-14,North East,1123.3101545573322
2020-07-14,North West,3861.8810118810225
2020-07-14,Northern Ireland,565.288858266395
2020-07-14,Scotland,1667.7361454862084
2020-07-14,South East,2279.7754366171343
2020-07-14,South West,1364.6345492237142
2020-07-14,Wales,3423.387828439847
2020-07-14,West Midlands,3359.2520632082596
2020-07-14,Yorkshire and The Humber,2134.9245612608947
2020-07-15,East Midlands,2017.7109299622437
2020-07-15,East of England,1374.2875946231907
2020-07-15,London,2572.710423898275
2020-07-15,North East,1093.3348768980443
2020-07-15,North West,3907.4586275813554
2020-07-15,Northern Ireland,569.0377072318286
2020-07-15,Scotland,1654.7820081867133
2020-07-15,South East,2336.8640500031706
2020-07-15,South West,1369.883880781247
2020-07-15,Wales,3358.689347830654
2020-07-15,West Midlands,3335.5321664709513
2020-07-15,Yorkshire and The Humber,2230.5046680228784
2020-07-16,East Midlands,1978.6604855767625
2020-07-16,East of England,1411.1163095147494
2020-07-16,London,2688.220815964917
2020-07-16,North East,1041.0966594962342
2020-07-16,North West,3985.6522385946646
2020-07-16,Northern Ireland,568.8565215436712
2020-07-16,Scotland,1632.0634308149984
2020-07-16,South East,2414.0080215166913
2020-07-16,South West,1373.113480732529
2020-07-16,Wales,3307.755604333801
2020-07-16,West Midlands,3261.63454528326
2020-07-16,Yorkshire and The Humber,2303.998599418016
2020-07-17,East Midlands,1932.9469012327377
2020-07-17,East of England,1435.7607135365545
2020-07-17,London,2806.4472140083167
